uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,hom1relatedness,hom2relatedness,normal,dummy
341,119,119,14-a,14,nonpun,0,taut,hangs,0.243455661,-0.58754546,0,1
344,119,119,14-a,14,nonpun,0,taut,poles,-0.286158353,-0.735985557,0,1
364,120,120,15-a,15,nonpun,0,marx,german,0.913342961,0.259296529,0,1
367,120,120,15-a,15,nonpun,0,marx,karl,1.430994181,-0.390664933,0,1
371,120,120,15-a,15,nonpun,0,marx,philosopher,1.553897502,-0.477807527,0,1
379,121,121,16-a,16,nonpun,0,hi,say,0.761917936,-0.470898835,0,1
383,121,121,16-a,16,nonpun,0,hi,waved,1.72973703,-0.148802992,0,1
409,122,122,17-a,17,nonpun,0,daze,bad,-0.184595357,0.537602261,0,1
412,122,122,17-a,17,nonpun,0,daze,learning,-0.690780761,-0.155835821,0,1
414,122,122,17-a,17,nonpun,0,daze,news,-0.567643796,0.281946675,0,1
434,123,123,18-a,18,nonpun,0,prose,essays,0.920121128,-0.418043865,0,1
437,123,123,18-a,18,nonpun,0,prose,novels,1.42068533,-0.518240741,0,1
440,123,123,18-a,18,nonpun,0,prose,written,1.32796995,-0.421870713,0,1
453,124,124,19-a,19,nonpun,0,plane,airport,1.712579248,-0.545519339,0,1
462,124,124,19-a,19,nonpun,0,plane,landed,1.050391062,-0.538243281,0,1
465,125,125,20-a,20,nonpun,0,dam,beaver,1.758858353,0.156040259,0,1
467,125,125,20-a,20,nonpun,0,dam,building,0.367174398,-0.539332626,0,1
471,125,125,20-a,20,nonpun,0,dam,logs,1.430668256,-0.121952542,0,1
478,125,125,20-a,20,nonpun,0,dam,sticks,0.317012934,-0.686561865,0,1
493,126,126,21-a,21,nonpun,0,hertz,computer,1.118191817,-0.50140918,0,1
497,126,126,21-a,21,nonpun,0,hertz,mega,0.779173478,-0.57167944,0,1
498,126,126,21-a,21,nonpun,0,hertz,processing,0.683483218,-0.540497833,0,1
500,126,126,21-a,21,nonpun,0,hertz,speed,0.178786499,-0.301454813,0,1
501,126,126,21-a,21,nonpun,0,hertz,thirty-three,-0.258263208,-0.762184863,0,1
516,127,127,22-a,22,nonpun,0,role,leading,0.504945154,-0.357426361,0,1
519,127,127,22-a,22,nonpun,0,role,plays,1.250637128,0.634214361,0,1
520,127,127,22-a,22,nonpun,0,role,show,0.452865957,-0.676772085,0,1
522,127,127,22-a,22,nonpun,0,role,television,0.73476784,-0.401643565,0,1
548,128,128,23-a,23,nonpun,0,collar,dog,1.711357399,-0.381415794,0,1
556,128,128,23-a,23,nonpun,0,collar,puts,-0.513290301,-0.526046813,0,1
558,128,128,23-a,23,nonpun,0,collar,walking,0.767337859,-0.699444316,0,1
560,129,129,24-a,24,nonpun,0,steal,boy,-0.319930983,-0.587491171,0,1
561,129,129,24-a,24,nonpun,0,steal,candy,-0.094536379,-0.781460533,0,1
562,129,129,24-a,24,nonpun,0,steal,decided,-0.465451553,-0.568402974,0,1
563,129,129,24-a,24,nonpun,0,steal,friend's,-0.56195865,-0.520115981,0,1
566,129,129,24-a,24,nonpun,0,steal,not,-0.189663551,-0.723041821,0,1
569,129,129,24-a,24,nonpun,0,steal,wanted,0.492795816,-0.618644422,0,1
600,130,130,25-a,25,nonpun,0,dye,hair,1.523473926,-0.704851099,0,1
602,130,130,25-a,25,nonpun,0,dye,like,-0.781460533,-0.619684429,0,1
603,130,130,25-a,25,nonpun,0,dye,not,-0.770518333,-0.324320723,0,1
604,130,130,25-a,25,nonpun,0,dye,people,-0.26904247,1.357481,0,1
611,131,131,26-a,26,nonpun,0,waist,belt,1.597962543,-0.347338501,0,1
615,131,131,26-a,26,nonpun,0,waist,look,-0.588764329,-0.72069838,0,1
617,131,131,26-a,26,nonpun,0,waist,small,0.54555294,-0.590623453,0,1
619,131,131,26-a,26,nonpun,0,waist,tiny,0.817679802,-0.534166992,0,1
649,132,132,27-a,27,nonpun,0,feet,hurting,0.399656575,-0.487295336,0,1
650,132,132,27-a,27,nonpun,0,feet,new,-0.68535866,-0.374702209,0,1
655,132,132,27-a,27,nonpun,0,feet,shoes,1.661397429,-0.582987908,0,1
658,132,132,27-a,27,nonpun,0,feet,these,-0.326401163,-0.748009219,0,1
673,133,133,28-a,28,nonpun,0,aloud,class,-0.247762261,-0.08337789,0,1
678,133,133,28-a,28,nonpun,0,aloud,poem,0.285366535,-0.648521192,0,1
679,133,133,28-a,28,nonpun,0,aloud,read,1.011726584,-0.384072101,0,1
682,133,133,28-a,28,nonpun,0,aloud,student,-0.31438722,-0.392756171,0,1
688,134,134,29-a,29,nonpun,0,pail,clean,0.454193468,0.108252618,0,1
690,134,134,29-a,29,nonpun,0,pail,filled,0.640365217,-0.465606583,0,1
691,134,134,29-a,29,nonpun,0,pail,floor,-0.027157293,-0.542267553,0,1
696,134,134,29-a,29,nonpun,0,pail,water,1.506103593,-0.205510526,0,1
697,134,134,29-a,29,nonpun,0,pail,worker,-0.140034506,-0.407722609,0,1
730,135,135,30-a,30,nonpun,0,manor,huge,0.769933737,-0.319066113,0,1
731,135,135,30-a,30,nonpun,0,manor,live,0.878267984,-0.08509899,0,1
735,135,135,30-a,30,nonpun,0,manor,people,0.015243503,0.361364864,0,1
737,135,135,30-a,30,nonpun,0,manor,those,-0.812234947,-0.5937837,0,1
738,135,135,30-a,30,nonpun,0,manor,wealthy,1.284905544,-0.276843416,0,1
743,136,136,31-a,31,nonpun,0,cache,copies,-0.02172846,-0.192477378,0,1
744,136,136,31-a,31,nonpun,0,cache,database,0.776424805,-0.34122505,0,1
747,136,136,31-a,31,nonpun,0,cache,pages,0.137738536,-0.513410638,0,1
750,136,136,31-a,31,nonpun,0,cache,stored,0.829207849,-0.233318436,0,1
754,136,136,31-a,31,nonpun,0,cache,web,0.810127394,-0.279163973,0,1
789,137,137,32-a,32,nonpun,0,reign,ended,0.005525581,-0.342900913,0,1
791,137,137,32-a,32,nonpun,0,reign,heir,1.112214591,-0.710023942,0,1
792,137,137,32-a,32,nonpun,0,reign,king's,1.776843753,-0.66841483,0,1
797,137,137,32-a,32,nonpun,0,reign,took,-0.113320681,-0.620418969,0,1
799,138,138,33-a,33,nonpun,0,thyme,chicken,0.702699467,-0.803956786,0,1
800,138,138,33-a,33,nonpun,0,thyme,creamy,-0.373157708,-0.78174645,0,1
802,138,138,33-a,33,nonpun,0,thyme,favorite,-0.757130331,-0.205737968,0,1
803,138,138,33-a,33,nonpun,0,thyme,flavored,0.720140546,-0.744399398,0,1
808,138,138,33-a,33,nonpun,0,thyme,meals,0.684309848,0.511392483,0,1
810,138,138,33-a,33,nonpun,0,thyme,sauce,0.675274507,-0.618491916,0,1
848,139,139,34-a,34,nonpun,0,pore,opening,1.292710947,-0.592816125,0,1
850,139,139,34-a,34,nonpun,0,pore,skin,1.711512432,-0.24986229,0,1
851,139,139,34-a,34,nonpun,0,pore,small,0.506945942,0.125812672,0,1
852,139,139,34-a,34,nonpun,0,pore,surface,0.729637206,-0.634197082,0,1
854,139,139,34-a,34,nonpun,0,pore,very,-0.758430767,0.113791966,0,1
857,140,140,35-a,35,nonpun,0,gilt,covered,-0.202184731,-0.201921939,0,1
859,140,140,35-a,35,nonpun,0,gilt,frame,0.224066754,0.159816498,0,1
893,141,141,36-a,36,nonpun,0,heir,british,0.9746296,-0.391015792,0,1
896,141,141,36-a,36,nonpun,0,heir,prince,1.47974664,-0.690269368,0,1
899,141,141,36-a,36,nonpun,0,heir,throne,1.706785224,-0.698889214,0,1
900,141,141,36-a,36,nonpun,0,heir,william,0.295560352,-0.540397823,0,1
902,142,142,37-a,37,nonpun,0,son,daughter,1.763125915,-0.630705819,0,1
923,143,143,38-a,38,nonpun,0,c's,even,-0.499558249,-0.111298652,0,1
924,143,143,38-a,38,nonpun,0,c's,hard,-0.714930737,-0.044966371,0,1
925,143,143,38-a,38,nonpun,0,c's,high,-0.577071422,1.15987515,0,1
932,143,143,38-a,38,nonpun,0,c's,sing,-0.060591239,-0.611618683,0,1
934,143,143,38-a,38,nonpun,0,c's,soprano,-0.539602268,-0.671420259,0,1
952,144,144,39-a,39,nonpun,0,watt,bulb,1.920607166,-0.602217742,0,1
953,144,144,39-a,39,nonpun,0,watt,desk,-0.457721811,-0.773342724,0,1
956,144,144,39-a,39,nonpun,0,watt,lamp,1.321393571,-0.69598325,0,1
957,144,144,39-a,39,nonpun,0,watt,light,1.79124009,-0.495548786,0,1
959,144,144,39-a,39,nonpun,0,watt,sixty,1.02910921,-0.825991955,0,1
964,144,144,39-a,39,nonpun,0,watt,uses,-0.311913495,-0.208917873,0,1
996,145,145,40-a,40,nonpun,0,razor,beard,1.686142323,-0.610927675,0,1
1004,145,145,40-a,40,nonpun,0,razor,shave,1.763154924,-0.634807828,0,1
1007,145,145,40-a,40,nonpun,0,razor,used,0.323571408,-0.552589093,0,1
1010,146,146,41-a,41,nonpun,0,knot,double,0.739134619,-0.957397723,0,1
1011,146,146,41-a,41,nonpun,0,knot,easy,-0.391155438,-0.106180819,0,1
1015,146,146,41-a,41,nonpun,0,knot,tie,1.837738897,-0.658961115,0,1
1025,147,147,42-a,42,nonpun,0,wood,get,-0.301585774,-0.316938295,0,1
1030,147,147,42-a,42,nonpun,0,wood,trees,2.166448306,-0.589968992,0,1
1043,148,148,43-a,43,nonpun,0,grader,hired,-0.196140338,-0.688166297,0,1
1048,148,148,43-a,43,nonpun,0,grader,score,1.456913574,-0.483996304,0,1
1050,148,148,43-a,43,nonpun,0,grader,tests,1.239366364,-0.830644844,0,1
1066,149,149,44-a,44,nonpun,0,eye,poked,1.069338754,-0.808131183,0,1
1073,150,150,45-a,45,nonpun,0,cell,biology,1.899746806,-0.668966778,0,1
1078,150,150,45-a,45,nonpun,0,cell,learned,-0.383796696,-0.513759403,0,1
1082,150,150,45-a,45,nonpun,0,cell,works,-0.234275681,0.283345321,0,1
1112,151,151,46-a,46,nonpun,0,scent,unpleasant,0.457821941,-0.810026414,0,1
1128,152,152,47-a,47,nonpun,0,course,school,1.619394573,-0.208046982,0,1
1130,152,152,47-a,47,nonpun,0,course,took,0.543846748,-0.520769838,0,1
1137,153,153,48-a,48,nonpun,0,deer,forest,1.472165421,-0.564228102,0,1
1151,154,154,49-a,49,nonpun,0,bee,angry,0.221877067,0.052633205,0,1
1153,154,154,49-a,49,nonpun,0,bee,honey,1.842053559,-0.528261049,0,1
1156,154,154,49-a,49,nonpun,0,bee,steal,-0.728146168,-0.735489128,0,1
1157,154,154,49-a,49,nonpun,0,bee,stung,1.794922544,-0.580402332,0,1
1158,154,154,49-a,49,nonpun,0,bee,tried,-0.639042341,-0.305108788,0,1
1162,155,155,50-a,50,nonpun,0,brake,cars,1.804849918,0.028044041,0,1
1169,155,155,50-a,50,nonpun,0,brake,slowly,0.825203011,-0.208863457,0,1
1180,156,156,51-a,51,nonpun,0,flour,baking,1.223055747,-0.575903516,0,1
1184,156,156,51-a,51,nonpun,0,flour,different,-0.658578307,-0.504582606,0,1
1187,156,156,51-a,51,nonpun,0,flour,kinds,-0.421216307,0.03446625,0,1
1191,156,156,51-a,51,nonpun,0,flour,use,-0.213368815,-0.419227853,0,1
1221,157,157,52-a,52,nonpun,0,fare,paid,1.159565545,-0.027407556,0,1
1233,158,158,53-a,53,nonpun,0,heel,bruised,0.293676601,1.118415119,0,1
1239,158,158,53-a,53,nonpun,0,heel,walking,1.670247066,0.091783129,0,1
1253,159,159,54-a,54,nonpun,0,hymn,church,1.689324454,0.352158611,0,1
1259,159,159,54-a,54,nonpun,0,hymn,sang,1.569489363,-0.505817434,0,1
1271,160,160,55-a,55,nonpun,0,no's,answered,0.415864512,1.265951772,0,1
1275,160,160,55-a,55,nonpun,0,no's,string,-0.707908246,-0.732012509,0,1
1293,161,161,56-a,56,nonpun,0,inn,stayed,0.708630598,0.302022196,0,1
1309,162,162,57-a,57,nonpun,0,idol,famous,1.566587652,-0.405166975,0,1
1312,162,162,57-a,57,nonpun,0,idol,movie,1.063241676,-0.326844709,0,1
1316,162,162,57-a,57,nonpun,0,idol,star,1.585715064,-0.250163244,0,1
1325,163,163,58-a,58,nonpun,0,maid,clean,1.43335711,-0.217471608,0,1
1326,163,163,58-a,58,nonpun,0,maid,hired,0.943186677,-0.211003158,0,1
1340,164,164,59-a,59,nonpun,0,nun,kind,0.67936669,-0.709886221,0,1
1344,164,164,59-a,59,nonpun,0,nun,pious,0.884351047,-0.425583558,0,1
1346,164,164,59-a,59,nonpun,0,nun,very,-0.849311361,-0.430725528,0,1
1355,165,165,60-a,60,nonpun,0,mourning,died,1.629802491,-0.607965686,0,1
1356,165,165,60-a,60,nonpun,0,mourning,loved,0.73364003,-0.364996225,0,1
1365,166,166,61-a,61,nonpun,0,meat,like,-0.395840073,0.057354067,0,1
1368,166,166,61-a,61,nonpun,0,meat,vegetarians,0.604443795,-0.641859781,0,1
1395,167,167,62-a,62,nonpun,0,reel,fish,1.640762987,-0.402162931,0,1
1399,167,167,62-a,62,nonpun,0,reel,need,-0.762973747,-0.282585301,0,1
1412,168,168,63-a,63,nonpun,0,pear,apples,1.278435678,-0.06388065,0,1
1413,168,168,63-a,63,nonpun,0,pear,ate,1.144401446,-0.624965138,0,1
1421,169,169,64-a,64,nonpun,0,pray,bed,0.277633309,-0.568121694,0,1
1423,169,169,64-a,64,nonpun,0,pray,christians,1.829803433,-0.448843181,0,1
1424,169,169,64-a,64,nonpun,0,pray,customary,-0.307313326,-0.523897592,0,1
1445,170,170,65-a,65,nonpun,0,root,tree's,1.69774838,-0.351945419,0,1
1446,170,170,65-a,65,nonpun,0,root,tripped,-0.180136938,-0.492415474,0,1
3,171,171,1-b,1,nonpun,0,profit,business,1.82224455,-0.65142243,0,1
5,171,171,1-b,1,nonpun,0,profit,dollars,1.743815347,-0.349161485,0,1
9,171,171,1-b,1,nonpun,0,profit,made,0.91419155,-0.124358304,0,1
10,171,171,1-b,1,nonpun,0,profit,million,1.246970119,-0.554897705,0,1
14,171,171,1-b,1,nonpun,0,profit,year,0.650043035,-0.162742635,0,1
42,172,172,2-b,2,nonpun,0,pie,apple,1.77905018,-0.721939114,0,1
45,172,172,2-b,2,nonpun,0,pie,dessert,1.681425152,-0.365230948,0,1
48,172,172,2-b,2,nonpun,0,pie,like,-0.047714652,-0.489360978,0,1
75,173,173,3-b,3,nonpun,0,need,company,0.051266325,-0.69822364,0,1
76,173,173,3-b,3,nonpun,0,need,computer,-0.175595364,-0.590439133,0,1
83,173,173,3-b,3,nonpun,0,need,programmers,-0.279855399,-0.634197082,0,1
100,174,174,4-b,4,nonpun,0,or,car,-0.646480239,-0.562531637,0,1
101,174,174,4-b,4,nonpun,0,or,care,-0.702338021,-0.750032,0,1
109,174,174,4-b,4,nonpun,0,or,problems,-0.750977777,-0.706748926,0,1
112,174,174,4-b,4,nonpun,0,or,take,-0.691946271,-0.660505036,0,1
115,175,175,5-b,5,nonpun,0,tears,cheeks,1.51407894,-0.732534456,0,1
119,175,175,5-b,5,nonpun,0,tears,movie,0.324767813,-0.455543802,0,1
120,175,175,5-b,5,nonpun,0,tears,ran,-0.065024853,-0.667817315,0,1
121,175,175,5-b,5,nonpun,0,tears,sad,1.6796432,-0.407993765,0,1
124,175,175,5-b,5,nonpun,0,tears,watched,-0.030077993,-0.617240943,0,1
144,176,176,6-b,6,nonpun,0,pole,flag,1.600043247,0.519522756,0,1
150,176,176,6-b,6,nonpun,0,pole,raised,-0.033473475,-0.248146517,0,1
151,176,176,6-b,6,nonpun,0,pole,up,0.261924936,-0.399628572,0,1
167,177,177,7-b,7,nonpun,0,board,company's,1.017920054,-0.4950691,0,1
168,177,177,7-b,7,nonpun,0,board,directors,1.174703046,-0.569948845,0,1
172,177,177,7-b,7,nonpun,0,board,meeting,1.321483146,0.440926303,0,1
195,178,178,8-b,8,nonpun,0,grease,plate,0.63160784,-0.424750336,0,1
210,179,179,9-b,9,nonpun,0,sign,boutique,0.347168404,-0.597703234,0,1
211,179,179,9-b,9,nonpun,0,sign,clothes,-0.638889498,-0.819844606,0,1
216,179,179,9-b,9,nonpun,0,sign,says,0.959917174,-0.774731927,0,1
217,179,179,9-b,9,nonpun,0,sign,store,0.932149163,-0.794210031,0,1
245,180,180,10-b,10,nonpun,0,principle,believe,0.570955939,0.105723192,0,1
254,180,180,10-b,10,nonpun,0,principle,physics,0.758149069,0.457736549,0,1
270,181,181,11-b,11,nonpun,0,seedy,bar,0.441356094,-0.775614671,0,1
273,181,181,11-b,11,nonpun,0,seedy,drunken,0.081083372,-0.685244163,0,1
274,181,181,11-b,11,nonpun,0,seedy,full,-0.609255664,-0.072954451,0,1
279,181,181,11-b,11,nonpun,0,seedy,people,-0.336843937,-0.38802841,0,1
282,181,181,11-b,11,nonpun,0,seedy,unwashed,0.412283929,-0.765760207,0,1
285,182,182,12-b,12,nonpun,0,hair,heads,2.008648242,-0.410983759,0,1
286,182,182,12-b,12,nonpun,0,hair,lots,0.016372087,-0.731424204,0,1
290,182,182,12-b,12,nonpun,0,hair,people,1.008991155,-0.560435519,0,1
319,183,183,13-b,13,nonpun,0,naughty,boy,0.340873612,-0.524156448,0,1
321,183,183,13-b,13,nonpun,0,naughty,child,0.360216669,-0.570673267,0,1
329,184,184,14-b,14,nonpun,0,taught,college,0.759114146,-0.700981929,0,1
332,184,184,14-b,14,nonpun,0,taught,mathematics,1.147346875,-0.471036256,0,1
336,184,184,14-b,14,nonpun,0,taught,students,1.536200491,-0.699906939,0,1
353,185,185,15-b,15,nonpun,0,marks,got,-0.550880909,-0.663951471,0,1
354,185,185,15-b,15,nonpun,0,marks,high,0.712761434,-0.599170228,0,1
354,185,185,15-b,15,nonpun,0,marks,high,0.712761434,-0.599170228,0,1
360,185,185,15-b,15,nonpun,0,marks,school,1.006779042,-0.292501088,0,1
386,186,186,16-b,16,nonpun,0,high,feet,0.210251748,-0.478992775,0,1
392,186,186,16-b,16,nonpun,0,high,statue,0.710567146,-0.655649086,0,1
394,186,186,16-b,16,nonpun,0,high,ten,0.111443636,-0.577530167,0,1
404,187,187,17-b,17,nonpun,0,days,seven,0.89747462,-0.804114924,0,1
408,187,187,17-b,17,nonpun,0,days,week,1.888258478,-0.620947694,0,1
423,188,188,18-b,18,nonpun,0,pros,cons,1.562762916,-0.587049833,0,1
426,188,188,18-b,18,nonpun,0,pros,networking,-0.050376801,-0.483010617,0,1
428,188,188,18-b,18,nonpun,0,pros,sites,-0.46302653,-0.641951532,0,1
429,188,188,18-b,18,nonpun,0,pros,social,-0.481973908,-0.133220543,0,1
442,189,189,19-b,19,nonpun,0,plain,beautiful,0.544398343,-0.193695926,0,1
447,189,189,19-b,19,nonpun,0,plain,felt,-0.295630453,-0.781460533,0,1
452,189,189,19-b,19,nonpun,0,plain,sister,-0.530564157,-0.764773611,0,1
483,190,190,20-b,20,nonpun,0,damn,give,-0.107603886,-0.238960042,0,1
488,190,190,20-b,20,nonpun,0,damn,not,-0.639285817,-0.596742509,0,1
490,190,190,20-b,20,nonpun,0,damn,say,-0.09659133,-0.774790815,0,1
503,191,191,21-b,21,nonpun,0,hurts,fell,1.289512664,-0.679602346,0,1
505,191,191,21-b,21,nonpun,0,hurts,leg,0.132818371,-0.734886048,0,1
524,192,192,22-b,22,nonpun,0,roll,bought,-0.423217501,-0.477277505,0,1
526,192,192,22-b,22,nonpun,0,roll,dress,-0.631901652,0.009442134,0,1
529,192,192,22-b,22,nonpun,0,roll,make,-0.068263256,-0.204322837,0,1
533,192,192,22-b,22,nonpun,0,roll,silk,-0.11304133,-0.526355868,0,1
535,193,193,23-b,23,nonpun,0,caller,bank,0.28677822,-0.677348142,0,1
541,193,193,23-b,23,nonpun,0,caller,phone,1.854532249,-0.641315109,0,1
576,194,194,24-b,24,nonpun,0,steel,made,0.246236099,-0.61483155,0,1
579,194,194,24-b,24,nonpun,0,steel,ship,0.808578387,-0.408994784,0,1
582,194,194,24-b,24,nonpun,0,steel,wood,0.101366305,-0.108600107,0,1
584,195,195,25-b,25,nonpun,0,die,attack,1.174044615,-0.886811156,0,1
587,195,195,25-b,25,nonpun,0,die,heart,0.600173251,-0.709082701,0,1
592,195,195,25-b,25,nonpun,0,die,scared,0.667042835,-0.428085266,0,1
595,195,195,25-b,25,nonpun,0,die,very,-0.706454265,-0.606925591,0,1
622,196,196,26-b,26,nonpun,0,waste,dealing,-0.571672057,-0.649881461,0,1
627,196,196,26-b,26,nonpun,0,waste,time,0.74945938,-0.469220054,0,1
631,197,197,27-b,27,nonpun,0,feat,exam,-0.003035828,-0.145472314,0,1
637,197,197,27-b,27,nonpun,0,feat,passing,-0.31578991,-0.167093468,0,1
639,197,197,27-b,27,nonpun,0,feat,real,-0.353071356,-0.392275205,0,1
642,197,197,27-b,27,nonpun,0,feat,studying,-0.401542051,-0.749716023,0,1
659,198,198,28-b,28,nonpun,0,allowed,car,-0.502274842,-0.555802483,0,1
661,198,198,28-b,28,nonpun,0,allowed,family,-0.279927222,-0.371948519,0,1
668,198,198,28-b,28,nonpun,0,allowed,son,-0.315025275,-0.461546552,0,1
670,198,198,28-b,28,nonpun,0,allowed,use,0.369072124,-0.583316729,0,1
705,199,199,29-b,29,nonpun,0,pale,looks,0.41002263,-0.579613713,0,1
706,199,199,29-b,29,nonpun,0,pale,sick,1.187339929,0.384213678,0,1
714,200,200,30-b,30,nonpun,0,manner,food,0.167603032,0.099803061,0,1
720,200,200,30-b,30,nonpun,0,manner,party,-0.228798263,-0.140640352,0,1
756,201,201,31-b,31,nonpun,0,cash,bought,1.090530565,-0.287451277,0,1
757,201,201,31-b,31,nonpun,0,cash,chips,0.7956559,-0.819637414,0,1
766,201,201,31-b,31,nonpun,0,cash,stocks,1.102684689,-0.444644263,0,1
769,201,201,31-b,31,nonpun,0,cash,ten,1.016804401,-0.616001035,0,1
772,201,201,31-b,31,nonpun,0,cash,years,-0.435775644,-0.403581963,0,1
775,202,202,32-b,32,nonpun,0,rain,city,0.086553216,0.099064559,0,1
777,202,202,32-b,32,nonpun,0,rain,fell,0.613188827,-0.133827467,0,1
781,202,202,32-b,32,nonpun,0,rain,night,-0.347260507,-0.721250535,0,1
821,203,203,33-b,33,nonpun,0,time,lunch,0.929261287,-0.308223877,0,1
823,203,203,33-b,33,nonpun,0,time,meeting,0.919818744,-0.750032,0,1
827,204,204,34-b,34,nonpun,0,poor,afford,0.58939641,-0.557698037,0,1
829,204,204,34-b,34,nonpun,0,poor,buy,0.033483277,-0.788090527,0,1
830,204,204,34-b,34,nonpun,0,poor,cannot,0.074573357,-0.781460533,0,1
832,204,204,34-b,34,nonpun,0,poor,family,0.512370285,-0.506777115,0,1
