ID,Sentence type,m1,m2,Sentence,m1 Semantic Focus Set,m2 Semantic Focus Set,Ambiguity,Distinctiveness,Funniness
55,pun,no's,knows,Mother #no's best.,no's;mother,best;mother,0.65047424,1.074542976,0.393214863
56,pun,inn,in,When I stayed at the hotel I made sure I didn't sleep #inn.,inn;hotel;sleep;stayed,stayed,0.689129955,2.422087175,0.836058615
57,pun,idol,idle,We spent some time looking for the celebrity before she realized she didn't want to #idol.,idol;celebrity;want,time,0.137000904,2.489158348,0.231656682
58,pun,maid,made,She didn't want to clean up but I #maid her.,maid;clean,up,0.54440364,1.628764977,0.720777681
59,pun,nun,none,When the new church opened #nun of us cared.,nun;cared;church,,0.533749224,2.199493651,1.119047674
60,pun,mourning,morning,He cried when he woke up. It was #mourning.,mourning;cried,up;woke,0.301614681,2.993466467,1.223151908
61,pun,meat,meet,The butcher was very glad we could #meat.,meat;butcher,glad,0.425732415,2.230779901,0.564574102
62,pun,reel,real,The fisherman couldn't believe what he caught; he didn't think it was #reel.,reel;caught;fisherman,believe,0.606091451,2.213066911,0.808595574
63,pun,pear,pair,If I were brave enough to be a fruit farmer I would grow a #pear.,pear;farmer;fruit;grow,,0.09504376,2.306014495,1.683725549
64,pun,pray,prey,All the birds in the parish were birds of #pray.,pray;parish,birds;birds,0.324144111,2.485567467,1.872043263
65,pun,root,route,If you want to make it all the way to a tree farm you had better take a different #root.,root;farm;tree,different;take;way,0.692683523,3.433103765,1.460681636
66,depunned,prophet,profit,Nationalism is a non #prophet organization.,prophet;organization,non;organization,0.260261743,1.724833251,0.254513052
67,depunned,pi,pie,I get my large waistline from too much #pi.,pi,large;waistline,0.682929662,1.355121974,0.53072537
68,depunned,knead,need,Mothers trade cake recipes on a #knead to know basis.,knead;cake;recipes,basis;mothers;trade,0.007009122,2.25025633,0.785729634
69,depunned,oar,or,The indecisive customer could not choose either #oar.,oar,choose;either;indecisive;not,3.96459E-05,3.750240371,0.04524037
70,depunned,tiers,tears,It was an emotional wedding. Even the mother-in-law was in #tiers.,tiers;wedding,emotional;mother-in-law;wedding,0.189212759,1.80179246,0.056751596
71,depunned,poll,pole,A new country decided to conduct a gallup #poll.,poll;conduct;decided;gallup,gallup,0.012169903,1.68292404,-0.37432802
72,depunned,bored,board,At some executive galas there is a chairman of the #bored.,bored,chairman;executive,0.021103256,2.51934205,0.674643587
73,depunned,greece,grease,Did you know that dolmas were first made in #Greece?,greece;dolmas,,0.04505765,1.095859381,-0.546340062
74,depunned,sine,sign,I always prayed before my biology tests. I was hoping for a #sine from above.,sine,prayed,0.028100818,1.393840296,0.404942905
75,depunned,principal,principle,It was not church john disliked. It was just the #principal of it.,principal;just,church;disliked;just,0.530599371,1.160158388,0.306823333
76,depunned,cd,seedy,Some grocery stores are in a #CD part of town.,cd;stores,,0.002176032,1.412957422,0.041303001
77,depunned,hare,hair,The professor got so mad he pulled his #hare out.,hare,pulled,0.087641237,1.584109049,0.328649854
78,depunned,knotty,naughty,The young boy was admonished by his father. Apparently he had been #knotty.,knotty,admonished;boy;young,0.048372008,1.529785216,0.064647189
79,depunned,taut,taught,To learn skateboard tricks you have to be #taut.,taut,learn;skateboard;tricks,0.021834866,2.3750297,-0.049442604
80,depunned,marx,marks,I dropped out of math class because of lousy #Marx.,marx;class,class;math,0.267831416,1.457638976,0.081925348
81,depunned,hi,high,A boy who instinctively takes risks has a natural #hi.,hi,risks,0.602176241,1.136012673,-0.186194839
82,depunned,daze,days,A teacher having a tough time longs for the end of the school #daze.,daze,school;time;tough,0.000717013,2.40247071,0.467035
83,depunned,prose,pros,Bankers in jail have their #prose and cons.,prose,bankers;cons,0.390661905,2.056276962,0.343680685
84,depunned,plane,plain,Do not expect to eat something fancy when you are driving because it is #plane food.,plane;food,fancy;food,0.466022916,1.132918273,0.816248555
85,depunned,dam,damn,I saw a horror movie last night. It was the best #dam movie I have ever seen.,dam,horror,0.665287861,1.23228027,-0.152108477
86,depunned,hertz,hurts,My horse is so slow it #hertz.,hertz,,0.509534499,0.951316665,-0.101169733
87,depunned,role,roll,The directors had one great movie after another. They were on a #role.,role;directors;movie,directors;movie,0.033990325,1.389364698,0.248735967
88,depunned,collar,caller,The man put his name on the pocket of his shirt so he would have #collar ID.,collar;id;man;pocket;shirt,id;man;name,0.09999044,2.481559944,1.018225003
89,depunned,steal,steel,Bodybuilders have muscles of #steal.,steal,bodybuilders,0.524217691,1.145080923,-0.398578255
90,depunned,dye,die,When an actress saw her first wrinkle she thought she would #dye.,dye,,0.585602817,0.991952982,0.418063329
91,depunned,waist,waste,A cardboard fort would be a #waist of paper.,waist,cardboard;paper,0.203239836,1.863304458,-0.487759475
92,depunned,feet,feat,Being able to fit size fourteen pants is quite a #feet.,feet;fourteen;pants;size,able,0.009909813,1.84999077,0.219053398
93,depunned,aloud,allowed,The intern wanted to say something but he was not #aloud.,aloud;say,wanted,0.626913826,1.624218857,0.108281046
94,depunned,pail,pale,Those who carry too many burdens start feeling #pail.,pail;carry,,0.645249976,1.242841482,0.048432206
95,depunned,manor,manner,A man's family is his anchor in a manor of speaking.,manor;family;manor,family;speaking,0.152109634,3.083088038,-0.286767324
96,depunned,cache,cash,An online poker tournament ended suddenly when the competitor #cached in his chips.,cache;online,chips;poker;tournament,0.467757245,2.986506566,0.375400152
97,depunned,reign,rain,Britain is a wet place since the autumn has had a long #reign.,reign;britain;long,autumn;britain;wet,0.29364273,3.596427126,0.291173511
98,depunned,thyme,time,Tomato gardeners who work extra get #thyme and a half.,thyme;gardeners;tomato,extra;work,0.051161865,2.787613319,1.268895866
99,depunned,pore,poor,If you say you have bad teeth I would say that was a #pore excuse.,pore,bad;excuse,0.052021054,1.675317005,0.039611812
100,depunned,gilt,guilt,People who like purple paint have a #gilt complex.,gilt,complex;people,0.676214658,1.409453989,-0.21847319
101,depunned,heir,err,To #heir is careless.,heir,careless,0.599481963,1.637402896,-0.183402836
102,depunned,son,sun,When their parrot was little they only got rest after #son down.,son;only,,0.438525024,1.065238018,-0.161363265
103,depunned,c's,seas,Novice choristers make terrible singers because they cannot hit the high #C's.,c's,high;terrible,0.401757251,1.831814007,-0.252778748
104,depunned,watt,what,An optometrist is a bright spark who knows what's #watt.,watt;bright;spark,knows;what's,0.28133651,3.906555644,0.21787527
105,depunned,razor,raiser,When the mayor wanted to balance the budget he turned to a fund #razor.,razor,fund,0.616856252,1.573057778,0.903298846
106,nonpun,prophet,profit,Daniel is a biblical #prophet known for interpreting dreams.,prophet;biblical;daniel;dreams;interpreting;known,biblical,0.018992554,2.622287568,-0.616442572
107,nonpun,pi,pie,He can recite the number #pi up to ten decimal places.,pi;decimal;number,,0.0023182,3.039322064,-0.701418837
108,nonpun,knead,need,Bakers #knead flour and milk together to make bread dough.,knead;bakers;bread;dough;flour;make;together,make,0.189531009,4.053765526,-0.463161833
109,nonpun,oar,or,The fisherman dipped the #oar in the river.,oar;dipped;fisherman;river,,0.664493909,3.331434795,-0.453091203
110,nonpun,tiers,tears,Boxes are stacked in #tiers in the warehouse.,tiers;boxes;stacked,,0.194227817,2.089151816,-0.559532321
111,nonpun,poll,pole,Pollsters conducted a #poll on the popularity of the political candidates.,poll;candidates;conducted;political;pollsters;popularity,candidates;pollsters,0.00063469,2.994662525,-0.478534317
112,nonpun,bored,board,The old man is alone all the time and is #bored to tears.,bored;alone;man;tears;time,,0.441506321,1.571833886,-0.499406276
113,nonpun,greece,grease,#Greece is a country in the the southern portion of Europe.,greece;country;europe;southern,,0.002434583,2.943578574,-0.549920934
114,nonpun,sine,sign,In mathematics the #sine function is a function of an angle.,sine;angle;function;function;mathematics,function;function;mathematics,0.652768679,1.281494684,-0.783115617
115,nonpun,principal,principle,Ms. Wu is the #principal of our local high school.,principal;high;local;school,high;school,0.114621189,1.087334863,-0.538246309
116,nonpun,cd,seedy,I bought a new #CD today in classical music.,cd;bought;classical;music;new,,1.46028E-05,2.728701581,-0.448309592
117,nonpun,hare,hair,The #hare ran rapidly through the fields.,hare;fields;ran;rapidly,,0.446712455,1.677047656,-0.400439814
118,nonpun,knotty,naughty,That cabin is made of #knotty pine.,knotty,,0.674819855,1.057357403,-0.186042386
119,nonpun,taut,taught,The clothesline hangs #taut between two poles.,taut;clothesline;hangs,,0.586875668,1.467125432,-0.566173862
120,nonpun,marx,marks,Karl #Marx was a german philosopher.,marx;german;karl;philosopher,german,0.053465532,2.656316812,-0.686663976
121,nonpun,hi,high,He waved at me to say #hi.,hi;say;waved,,0.134380755,2.016909139,-0.493961971
122,nonpun,daze,days,She was in a #daze after learning the bad news.,daze,bad;news,0.015291095,1.297258523,-0.548913063
123,nonpun,prose,pros,Novels and essays are written in #prose.,prose;essays;novels;written,,0.016842696,2.878048713,-0.419635971
124,nonpun,plane,plain,Our #plane landed at the airport.,plane;airport;landed,,0.025196652,2.600097103,-0.627515394
125,nonpun,dam,damn,That beaver is building a #dam with logs and sticks.,dam;beaver;building;logs;sticks,beaver,0.008048418,2.39798388,-0.400439814
126,nonpun,hertz,hurts,This computer has a processing speed of thirty-three mega #hertz.,hertz;computer;mega;processing;speed,,0.009840411,2.451922183,-0.4801975
127,nonpun,role,roll,She plays the leading #role in a television show.,role;leading;plays;show;television,plays,0.010106311,1.805845307,-0.568697608
128,nonpun,collar,caller,He puts a #collar on his dog before walking it.,collar;dog;walking,,0.017056501,2.362514151,-0.624425163
129,nonpun,steal,steel,The little boy wanted to #steal his friend's candy but decided not to.,steal;wanted,,0.252567435,1.423694115,-0.05194632
130,nonpun,dye,die,Some people do not like to #dye their hair.,dye;hair,people,0.679540898,2.657820101,-0.597783895
131,nonpun,waist,waste,She must have a small #waist; look how tiny her belt is!,waist;belt;small;tiny,,0.062413685,2.493258348,-0.284472946
132,nonpun,feet,feat,These new shoes are hurting my #feet.,feet;hurting;shoes,,0.004272054,2.263585357,-0.627515394
133,nonpun,aloud,allowed,The student read her poem #aloud in class.,aloud;poem;read,,0.415475974,1.603042748,-0.535863964
134,nonpun,pail,pale,A worker filled a #pail with water to clean the floor.,pail;clean;filled;water,clean,0.12188126,1.966186164,-0.52197268
135,nonpun,manor,manner,Those wealthy people live in a huge #manor.,manor;huge;live;people;wealthy,people,0.116556061,2.019591668,-0.239700056
136,nonpun,cache,cash,#Cached copies of the web pages are stored in the database.,cache;database;pages;stored;web,,0.000637517,1.891741282,-0.624425163
137,nonpun,reign,rain,The king's #reign ended and his heir took over.,reign;ended;heir;king's,,0.036856733,3.049746443,-0.549920934
138,nonpun,thyme,time,One of my favorite meals is chicken in a creamy sauce flavored with #thyme.,thyme;chicken;flavored;meals;sauce,meals,0.661410335,2.500449751,-0.619153218
139,nonpun,pore,poor,A #pore is a very small opening on the surface of your skin.,pore;opening;skin;small;surface,small;very,0.177737817,3.200505174,-0.439063741
140,nonpun,gilt,guilt,She covered the frame with #gilt.,gilt;frame,frame,0.597345312,0.925256823,0.02380242
141,nonpun,heir,err,Prince William is #heir to the british throne.,heir;british;prince;throne;william,,0.0041025,3.816547635,-0.406641634
142,nonpun,son,sun,They have a #son and a daughter.,son;daughter,,0.117331433,2.136112143,-0.601307501
143,nonpun,c's,seas,It is hard even for a soprano to sing the high #C's.,c's,high,0.542155121,1.843393376,-0.277035692
144,nonpun,watt,what,My desk lamp uses a sixty #watt light bulb.,watt;bulb;lamp;light;sixty,,0.013591216,5.074683082,-0.489417904
145,nonpun,razor,raiser,He used a #razor to shave his beard.,razor;beard;shave;used,,0.001274051,3.458610744,-0.549920934
146,nonpun,knot,not,It's easy to tie a double #knot.,knot;double;tie,,0.605633837,2.924349602,-0.470142255
147,nonpun,wood,would,We get our #wood from trees.,wood;trees,,0.294539812,2.414283883,-0.326085081
148,nonpun,grader,grater,A #grader was hired to score all of the tests.,grader;score;tests,,0.0031691,2.792683927,-0.616442572
149,nonpun,eye,i,I was poked in the #eye.,eye;poked,,0.688541282,1.743153418,-0.345549609
150,nonpun,cell,sell,We learned about how a #cell works in biology.,cell;biology,works,0.091230606,2.35918437,-0.537912493
151,nonpun,scent,cent,That #scent is unpleasant.,scent;unpleasant,,0.576712281,1.310436754,-0.416754042
152,nonpun,course,coarse,I took a #course in school.,course;school;took,,0.001173696,1.907444423,-0.4801975
153,nonpun,deer,dear,There are #deer in the forest.,deer;forest,,0.152402419,1.842274262,-0.680097469
154,nonpun,bee,be,He tried to steal honey but was stung by an angry #bee.,bee;angry;honey;stung,angry,0.589041019,3.309080624,0.227042762
155,nonpun,brake,break,Cars should #brake slowly.,brake;cars;slowly,cars,0.176840019,1.804979673,-0.549920934
156,nonpun,flour,flower,We use different kinds of #flours in baking.,flour;baking,kinds,0.255115688,1.733701824,-0.751501589
157,nonpun,fare,fair,The #fare had to be paid.,fare;paid,,0.568574702,1.242468003,-0.656157197
158,nonpun,heel,heal,His #heel was bruised from walking too much.,heel;bruised;walking,bruised;walking,0.17450761,1.576369332,-0.627515394
159,nonpun,hymn,him,We sang a #hymn in church.,hymn;church;sang,church,0.657647382,2.204954692,-0.566763693
160,nonpun,no's,knows,I answered with a string of #no's.,no's;answered,answered,0.656503161,1.075300122,-0.366838698
161,nonpun,inn,in,We stayed at an #inn.,inn;stayed,stayed,0.277809087,0.962927868,-0.724466457
162,nonpun,idol,idle,That famous movie star is my #idol.,idol;famous;movie;star,,0.006471488,2.937508525,-0.558676472
163,nonpun,maid,made,I hired a #maid to clean.,maid;clean;hired,,0.651353161,1.835423029,-0.425598017
164,nonpun,nun,none,The #nun was very pious and kind.,nun;kind;pious,,0.684014464,1.837121212,-0.613731926
165,nonpun,mourning,morning,We were in #mourning after our loved one died.,mourning;died;loved,,0.391754038,2.298537559,-0.565341044
166,nonpun,meat,meet,Vegetarians don't like #meat.,meat;vegetarians,like,0.556423235,1.351194024,-0.459630503
167,nonpun,reel,real,You need to #reel in the fish.,reel;fish,,0.686316897,1.870394819,-0.356100683
168,nonpun,pear,pair,She ate a #pear and two apples.,pear;apples;ate,,0.151777066,2.049589588,-0.52197268
169,nonpun,pray,prey,It is customary for Christians to #pray before bed.,pray;bed;christians,,0.013946561,2.186535671,-0.680097469
170,nonpun,root,route,He tripped over a tree's #root.,root;tree's,,0.053718048,1.834036783,0.248859652
171,nonpun,prophet,profit,That business made one million dollars in #profit last year.,,profit;business;dollars;made;million;year,7.31468E-05,4.279280723,-0.63337994
172,nonpun,pi,pie,Would you like some apple #pie for dessert?,,pie;apple;dessert,0.009044099,3.181020888,-0.627515394
173,nonpun,knead,need,The company has a #need for computer programmers.,,need;company,0.000259735,1.130689122,-0.598788105
174,nonpun,oar,or,Take care of your car #or else you will have problems.,,or,0.000575607,0.926994499,-0.559532321
175,nonpun,tiers,tears,#Tears ran down her cheeks as she watched a sad movie.,,tears;cheeks;movie;sad,0.000276907,3.283005232,-0.568697608
176,nonpun,poll,pole,She raised a flag up the #pole. ,flag,pole;flag;up,0.185784485,1.26548321,-0.321161094
177,nonpun,bored,board,He has a meeting with the company's #board of directors.,meeting,board;company's;directors;meeting,0.000565451,2.324643522,-0.549920934
178,nonpun,greece,grease,There was too much #grease on the plate.,,grease;plate,0.553692485,1.196218391,-0.488917613
179,nonpun,sine,sign,The #sign on our store says the clothes boutique.,,sign;boutique;says;store,0.000104814,2.558195463,-0.515691038
180,nonpun,principal,principle,I believe in the #principle of physics.,believe;physics,principle;believe;physics,0.315906913,0.997179706,-0.537912493
181,nonpun,cd,seedy,The #seedy bar was full of drunken and unwashed people.,,seedy;bar;drunken;unwashed,0.404084937,1.828042944,0.275131224
182,nonpun,hare,hair,Most people have lots of #hair on their heads.,,hair;heads;lots;people,0.000436025,2.806700677,-0.342560376
183,nonpun,knotty,naughty,That boy is a #naughty child.,,naughty;boy;child,0.005519306,1.320325648,-0.476507921
184,nonpun,taut,taught,She #taught mathematics to college students.,,taught;college;mathematics;students,0.000183942,3.139075804,-0.181733713
185,nonpun,marx,marks,She got high #marks in high school.,,marks;high;high;school,0.003323324,2.153823472,-0.382044045
186,nonpun,hi,high,The statue is ten feet #high.,,high;feet;statue;ten,0.012532206,1.60652287,-0.754212236
187,nonpun,daze,days,There are seven #days in a week.,,days;seven;week,6.34639E-05,2.909310589,-0.701418837
188,nonpun,prose,pros,What are the #pros and cons of social networking sites?,,pros;cons,0.028606659,2.016286535,-0.537912493
189,nonpun,plane,plain,She felt #plain next to her beautiful sister.,,plain;beautiful,0.109692094,1.12498407,-0.417965881
190,nonpun,dam,damn,I do not give a #damn what you say.,,damn,0.19828855,1.037727758,-0.383947317
191,nonpun,hertz,hurts,I fell and now my leg #hurts.,,hurts;fell;leg,0.029770345,1.987214278,-0.611155033
192,nonpun,role,roll,She bought a #roll of silk to make a dress.,dress,roll,0.565708922,1.070620309,-0.574167486
193,nonpun,collar,caller,The #caller on the phone is from your bank.,,caller;bank;phone,0.039686038,2.447295419,-0.549920934
194,nonpun,steal,steel,That ship is made of wood and #steel.,,steel;made;ship;wood,0.01275205,1.472648107,-0.816320452
195,nonpun,dye,die,He is very scared that he will #die of a heart attack. ,,die;attack;heart;scared,0.001627646,2.60457815,-0.701418837
196,nonpun,waist,waste,Dealing with him is a #waste of time.,,waste;time,0.028763692,1.28423781,-0.478259045
197,nonpun,feet,feat,Passing that exam without studying was a real #feat!,,feat,0.693117007,0.962988263,-0.279133275
198,nonpun,aloud,allowed,We #allowed our son to use the family car.,,allowed;use,0.021958912,1.15410035,-0.683086216
199,nonpun,pail,pale,She looks #pale and sick.,sick,pale;looks;sick,0.015484895,1.301433942,-0.724466457
200,nonpun,manor,manner,There was all #manner of food at the party.,food,manner;food,0.14675406,0.927304465,-0.508418795
201,nonpun,cache,cash,She bought stocks for ten years and then #cashed in her chips.,,cash;bought;chips;stocks;ten,0.060412188,3.167896955,-0.316755813
202,nonpun,reign,rain,#Rain fell on the city last night.,city,rain;city;fell,0.03615086,1.092796943,-0.481383555
203,nonpun,thyme,time,We have #time to have lunch before the meeting.,,time;lunch;meeting,0.000103932,1.945523952,-0.529309294
204,nonpun,pore,poor,That family is so #poor they cannot afford to buy food.,,poor;afford;buy;cannot;family,0.000527588,1.889158244,-0.537912493
205,nonpun,gilt,guilt,A jury decides the #guilt or innocence of an accused person.,,guilt;accused;innocence;jury;person,0.001294974,2.692327807,-0.598788105
206,nonpun,heir,err,It is better to #err on the side of being too safe.,,err,0.160169398,0.942473858,-0.43842232
207,nonpun,son,sun,The #sun rises every morning and sets every evening.,,sun;evening;morning;rises;sets,0.00038092,4.231683722,-0.724466457
208,nonpun,c's,seas,The ship is in the mid-atlantic on the high #seas.,,seas;high;mid-atlantic;ship,1.94467E-06,3.533275301,-0.430688967
209,nonpun,watt,what,The teacher told the students #what to do.,,what,0.004865541,0.99979553,-0.549920934
210,nonpun,razor,raiser,That girl organized a fund #raiser at her local church.,,raiser;fund,0.280201217,1.750079724,-0.619153218
211,nonpun,knot,not,Let's do this at but #not that.,,not,0.001147578,0.944915901,-0.549920934
212,nonpun,wood,would,Her father #would not let her go to the party.,,would;let;not,0.006307968,1.46113055,-0.751501589
213,nonpun,grader,grater,The cheese #grater slices the cheese.,cheese;cheese,grater;cheese;cheese;slices,0.060012707,2.104178314,-0.537709317
214,nonpun,eye,i,#I don't know the answer.,,i;know,0.007108991,1.055404265,-0.537912493
215,nonpun,cell,sell,I must #sell my car for a good price.,,sell;car;good;price,0.013951156,2.267400643,-0.531638371
216,nonpun,scent,cent,He is so stingy that he would not even let me borrow a #cent.,,cent;borrow;stingy,0.005841566,1.742748127,-0.52197268
217,nonpun,course,coarse,You have very #coarse hair.,,coarse;hair,0.610706958,1.137135114,-0.610624523
218,nonpun,deer,dear,You're such a #dear friend.,,dear;friend,0.057832342,1.700240234,-0.442670104
219,nonpun,bee,be,I will #be okay; don't worry.,,be,0.002775328,0.95375885,-0.440726864
220,nonpun,brake,break,#Break a leg on your performance.,performance,break;leg;performance,0.062193606,1.377190011,-0.088060548
221,nonpun,flour,flower,I picked some pretty #flowers that were growing among weeds.,,flower;growing;picked;pretty;weeds,3.39655E-06,4.008264889,-0.240292798
222,nonpun,fare,fair,The rules of this game are not #fair.,,fair;game;not;rules,0.003626278,2.017599957,-0.537912493
223,nonpun,heel,heal,It just takes time for wounds to #heal.,,heal;time;wounds,0.039115406,2.123671959,-0.536651619
224,nonpun,hymn,him,John likes Sarah but she doesn't like #him back.,,him;john,0.004880714,1.011400179,-0.766636577
225,nonpun,no's,knows,He #knows almost every word in the dictionary.,word,knows;dictionary;word,1.84709E-08,1.434660978,-0.637640044
226,nonpun,inn,in,Come #in the room and close the door.,door;room,in;close;come;door;room,0.003047018,2.017144694,-0.620915285
227,nonpun,idol,idle,You're just sitting there doing nothing; don't be #idle.,,idle;doing;just;sitting,0.052614624,1.519399098,-0.328808938
228,nonpun,maid,made,You #made that cake all by yourself?,,made;cake,0.004427424,1.363067617,-0.819031098
