uniqueID,sentenceID,homophoneID,phoneticID,homophone,sentenceType,isOrig,sentence,dummy
127,127,22-a,22,role,nonpun,0,She plays the leading #role in a television show.,1
128,128,23-a,23,collar,nonpun,0,He puts a #collar on his dog before walking it.,1
129,129,24-a,24,steal,nonpun,0,The little boy wanted to #steal his friend's candy but decided not to.,1
130,130,25-a,25,dye,nonpun,0,Some people do not like to #dye their hair.,1
131,131,26-a,26,waist,nonpun,0,She must have a small #waist; look how tiny her belt is!,1
132,132,27-a,27,feet,nonpun,0,These new shoes are hurting my #feet.,1
133,133,28-a,28,aloud,nonpun,0,The student read her poem #aloud in class.,1
134,134,29-a,29,pail,nonpun,0,A worker filled a #pail with water to clean the floor.,1
135,135,30-a,30,manor,nonpun,0,Those wealthy people live in a huge #manor.,1
136,136,31-a,31,cache,nonpun,0,#Cached copies of the web pages are stored in the database.,1
137,137,32-a,32,reign,nonpun,0,The king's #reign ended and his heir took over.,1
138,138,33-a,33,thyme,nonpun,0,One of my favorite meals is chicken in a creamy sauce flavored with #thyme.,1
139,139,34-a,34,pore,nonpun,0,A #pore is a very small opening on the surface of your skin.,1
140,140,35-a,35,gilt,nonpun,0,She covered the frame with #gilt.,1
141,141,36-a,36,heir,nonpun,0,Prince William is #heir to the british throne.,1
142,142,37-a,37,son,nonpun,0,They have a #son and a daughter.,1
143,143,38-a,38,c's,nonpun,0,It is hard even for a soprano to sing the high #C's.,1
144,144,39-a,39,watt,nonpun,0,My desk lamp uses a sixty #watt light bulb.,1
145,145,40-a,40,razor,nonpun,0,He used a #razor to shave his beard.,1
146,146,41-a,41,knot,nonpun,0,It's easy to tie a double #knot.,1
147,147,42-a,42,wood,nonpun,0,We get our #wood from trees.,1
148,148,43-a,43,grader,nonpun,0,A #grader was hired to score all of the tests.,1
149,149,44-a,44,eye,nonpun,0,I was poked in the #eye.,1
150,150,45-a,45,cell,nonpun,0,We learned about how a #cell works in biology.,1
151,151,46-a,46,scent,nonpun,0,That #scent is unpleasant.,1
152,152,47-a,47,course,nonpun,0,I took a #course in school.,1
153,153,48-a,48,deer,nonpun,0,There are #deer in the forest.,1
154,154,49-a,49,bee,nonpun,0,He tried to steal honey but was stung by an angry #bee.,1
155,155,50-a,50,brake,nonpun,0,Cars should #brake slowly.,1
156,156,51-a,51,flour,nonpun,0,We use different kinds of #flours in baking.,1
157,157,52-a,52,fare,nonpun,0,The #fare had to be paid.,1
158,158,53-a,53,heel,nonpun,0,His #heel was bruised from walking too much.,1
159,159,54-a,54,hymn,nonpun,0,We sang a #hymn in church.,1
160,160,55-a,55,no's,nonpun,0,I answered with a string of #no's.,1
161,161,56-a,56,inn,nonpun,0,We stayed at an #inn.,1
162,162,57-a,57,idol,nonpun,0,That famous movie star is my #idol.,1
163,163,58-a,58,maid,nonpun,0,I hired a #maid to clean.,1
164,164,59-a,59,nun,nonpun,0,The #nun was very pious and kind.,1
165,165,60-a,60,mourning,nonpun,0,We were in #mourning after our loved one died.,1
166,166,61-a,61,meat,nonpun,0,Vegetarians don't like #meat.,1
167,167,62-a,62,reel,nonpun,0,You need to #reel in the fish.,1
168,168,63-a,63,pear,nonpun,0,She ate a #pear and two apples.,1
169,169,64-a,64,pray,nonpun,0,It is customary for Christians to #pray before bed.,1
170,170,65-a,65,root,nonpun,0,He tripped over a tree's #root.,1
171,171,1-b,1,profit,nonpun,0,That business made one million dollars in #profit last year.,1
172,172,2-b,2,pie,nonpun,0,Would you like some apple #pie for dessert?,1
173,173,3-b,3,need,nonpun,0,The company has a #need for computer programmers.,1
174,174,4-b,4,or,nonpun,0,Take care of your car #or else you will have problems.,1
175,175,5-b,5,tears,nonpun,0,#Tears ran down her cheeks as she watched a sad movie.,1
176,176,6-b,6,pole,nonpun,0,She raised a flag up the #pole. ,1
177,177,7-b,7,board,nonpun,0,He has a meeting with the company's #board of directors.,1
178,178,8-b,8,grease,nonpun,0,There was too much #grease on the plate.,1
179,179,9-b,9,sign,nonpun,0,The #sign on our store says the clothes boutique.,1
180,180,10-b,10,principle,nonpun,0,I believe in the #principle of physics.,1
181,181,11-b,11,seedy,nonpun,0,The #seedy bar was full of drunken and unwashed people.,1
182,182,12-b,12,hair,nonpun,0,Most people have lots of #hair on their heads.,1
183,183,13-b,13,naughty,nonpun,0,That boy is a #naughty child.,1
184,184,14-b,14,taught,nonpun,0,She #taught mathematics to college students.,1
185,185,15-b,15,marks,nonpun,0,She got high #marks in high school.,1
186,186,16-b,16,high,nonpun,0,The statue is ten feet #high.,1
187,187,17-b,17,days,nonpun,0,There are seven #days in a week.,1
188,188,18-b,18,pros,nonpun,0,What are the #pros and cons of social networking sites?,1
189,189,19-b,19,plain,nonpun,0,She felt #plain next to her beautiful sister.,1
190,190,20-b,20,damn,nonpun,0,I do not give a #damn what you say.,1
191,191,21-b,21,hurts,nonpun,0,I fell and now my leg #hurts.,1
192,192,22-b,22,roll,nonpun,0,She bought a #roll of silk to make a dress.,1
193,193,23-b,23,caller,nonpun,0,The #caller on the phone is from your bank.,1
194,194,24-b,24,steel,nonpun,0,That ship is made of wood and #steel.,1
195,195,25-b,25,die,nonpun,0,He is very scared that he will #die of a heart attack. ,1
196,196,26-b,26,waste,nonpun,0,Dealing with him is a #waste of time.,1
197,197,27-b,27,feat,nonpun,0,Passing that exam without studying was a real #feat!,1
198,198,28-b,28,allowed,nonpun,0,We #allowed our son to use the family car.,1
199,199,29-b,29,pale,nonpun,0,She looks #pale and sick.,1
200,200,30-b,30,manner,nonpun,0,There was all #manner of food at the party.,1
201,201,31-b,31,cash,nonpun,0,She bought stocks for ten years and then #cashed in her chips.,1
202,202,32-b,32,rain,nonpun,0,#Rain fell on the city last night.,1
203,203,33-b,33,time,nonpun,0,We have #time to have lunch before the meeting.,1
204,204,34-b,34,poor,nonpun,0,That family is so #poor they cannot afford to buy food.,1
205,205,35-b,35,guilt,nonpun,0,A jury decides the #guilt or innocence of an accused person.,1
206,206,36-b,36,err,nonpun,0,It is better to #err on the side of being too safe.,1
207,207,37-b,37,sun,nonpun,0,The #sun rises every morning and sets every evening.,1
208,208,38-b,38,seas,nonpun,0,The ship is in the mid-atlantic on the high #seas.,1
209,209,39-b,39,what,nonpun,0,The teacher told the students #what to do.,1
210,210,40-b,40,raiser,nonpun,0,That girl organized a fund #raiser at her local church.,1
211,211,41-b,41,not,nonpun,0,Let's do this at but #not that.,1
212,212,42-b,42,would,nonpun,0,Her father #would not let her go to the party.,1
213,213,43-b,43,grater,nonpun,0,The cheese #grater slices the cheese.,1
214,214,44-b,44,i,nonpun,0,#I don't know the answer.,1
215,215,45-b,45,sell,nonpun,0,I must #sell my car for a good price.,1
216,216,46-b,46,cent,nonpun,0,He is so stingy that he would not even let me borrow a #cent.,1
217,217,47-b,47,coarse,nonpun,0,You have very #coarse hair.,1
218,218,48-b,48,dear,nonpun,0,You're such a #dear friend.,1
219,219,49-b,49,be,nonpun,0,I will #be okay; don't worry.,1
220,220,50-b,50,break,nonpun,0,#Break a leg on your performance.,1
221,221,51-b,51,flower,nonpun,0,I picked some pretty #flowers that were growing among weeds.,1
222,222,52-b,52,fair,nonpun,0,The rules of this game are not #fair.,1
223,223,53-b,53,heal,nonpun,0,It just takes time for wounds to #heal.,1
224,224,54-b,54,him,nonpun,0,John likes Sarah but she doesn't like #him back.,1
225,225,55-b,55,knows,nonpun,0,He #knows almost every word in the dictionary.,1
226,226,56-b,56,in,nonpun,0,Come #in the room and close the door.,1
227,227,57-b,57,idle,nonpun,0,You're just sitting there doing nothing; don't be #idle.,1
228,228,58-b,58,made,nonpun,0,You #made that cake all by yourself?,1
229,229,59-b,59,none,nonpun,0,#None of it made any sense.,1
230,230,60-b,60,morning,nonpun,0,I woke up in the #morning and the sun was shining.,1
231,231,61-b,61,meet,nonpun,0,The two pen pals were finally able to #meet.,1
232,232,62-b,62,real,nonpun,0,That diamond is not #real; it is just a very good counterfeit. ,1
233,233,63-b,63,pair,nonpun,0,I have a #pair of matching socks.,1
234,234,64-b,64,prey,nonpun,0,That mouse could easily be the eagle's #prey.,1
235,235,65-b,65,route,nonpun,0,Take the faster #route on your way home.,1
236,1,1-b,1,profit,pun,1,Atheism is a non #prophet organization.,1
237,2,2-b,2,pie,pun,1,I get my large circumference from too much #pie.,1
238,3,3-b,3,need,pun,1,Bakers trade bread recipes on a #need to know basis.,1
239,4,4-b,4,or,pun,1,The indecisive rower could not choose either #or.,1
240,5,5-b,5,tears,pun,1,It was an emotional wedding. Even the cake was in #tears.,1
241,6,6-b,6,pole,pun,1,A new country decided to conduct a flag #pole.,1
242,7,7-b,7,board,pun,1,At some executive meetings there is a chairman of the #board.,1
243,8,8-b,8,grease,pun,1,Did you know that donuts were first made in #grease?,1
244,9,9-b,9,sign,pun,1,I always prayed before my trigonometry tests. I was hoping for a #sign from above.,1
245,10,10-b,10,principle,pun,1,It was not school john disliked. It was just the #principle of it.,1
246,11,11-b,11,seedy,pun,1,Some music stores are in a #seedy part of town.,1
247,12,12-b,12,hair,pun,1,The magician got so mad he pulled his #hair out.,1
248,13,13-b,13,naughty,pun,1,The young pine sapling was admonished by his father. Apparently he had been #naughty.,1
249,14,14-b,14,taught,pun,1,To learn rope tricks you have to be #taught.,1
250,15,15-b,15,marks,pun,1,I dropped out of communism class because of lousy #marks.,1
251,16,16-b,16,high,pun,1,A boy who instinctively waves at people has a natural #high.,1
252,17,17-b,17,days,pun,1,A teacher having a tough time longs for the end of the school #days.,1
253,18,18-b,18,pros,pun,1,Authors in jail have their #pros and cons.,1
254,19,19-b,19,plain,pun,1,Do not expect to eat something fancy when you are flying because it is #plain food.,1
255,20,20-b,20,damn,pun,1,I saw a beaver movie last night. It was the best #damn movie I have ever seen.,1
256,21,21-b,21,hurts,pun,1,My computer is so slow it #hurts.,1
257,22,22-b,22,roll,pun,1,The actors had one great movie after another. They were on a #roll.,1
258,23,23-b,23,caller,pun,1,The man put his name on the neck of his shirt so he would have #caller ID.,1
259,24,24-b,24,steel,pun,1,Thieves have muscles of #steel.,1
260,25,25-b,25,die,pun,1,When an actress saw her first strands of gray hair she thought she would #die.,1
261,26,26-b,26,waste,pun,1,A cardboard belt would be a #waste of paper.,1
262,27,27-b,27,feat,pun,1,Being able to fit size fourteen shoes is quite a #feat.,1
263,28,28-b,28,allowed,pun,1,The mime wanted to say something but he was not #allowed.,1
264,29,29-b,29,pale,pun,1,Those who carry too many buckets start feeling #pale.,1
265,30,30-b,30,manner,pun,1,A man's home is his castle in a #manner of speaking.,1
266,31,31-b,31,cash,pun,1,An online poker tournament ended suddenly when the computer #cashed in its chips.,1
267,32,32-b,32,rain,pun,1,Britain is a wet place since the queen has had a long #rain.,1
268,33,33-b,33,time,pun,1,Herb gardeners who work extra get #time and a half.,1
269,34,34-b,34,poor,pun,1,If you say you have bad skin I would say that was a #poor excuse.,1
270,35,35-b,35,guilt,pun,1,People who like gold paint have a #guilt complex.,1
271,36,36-b,36,err,pun,1,To #err is human.,1
272,37,37-b,37,sun,pun,1,When their boy was little they only got rest after #sun down.,1
273,38,38-b,38,seas,pun,1,Novice pirates make terrible singers because they cannot hit the high #seas.,1
274,39,39-b,39,what,pun,1,An electrician is a bright spark who knows what's #what.,1
275,40,40-b,40,raiser,pun,1,When the mayor wanted to slash the budget he turned to a fund #raiser.,1
276,41,41-b,41,not,pun,1,Boyscouts know which ropes to tie and what #not.  ,1
277,42,42-b,42,would,pun,1,If you could ask someone anything about trees what #would you ask?,1
278,43,43-b,43,grater,pun,1,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grater.,1
279,44,44-b,44,i,pun,1,I'm blind so #I can't see.,1
280,45,45-b,45,sell,pun,1,We didn't know whether to keep our biology program or #sell it.,1
281,46,46-b,46,cent,pun,1,It will cost you more than a #cent to get rid of that smell.,1
282,47,47-b,47,coarse,pun,1,I tried to stick with the rough class but it was just too #coarse for my liking.,1
283,48,48-b,48,dear,pun,1,Our pet is very #dear to us.,1
284,49,49-b,49,be,pun,1,You don't want to #be around a hive for too long.,1
285,50,50-b,50,break,pun,1,You should run really fast but be careful not to #break anything.,1
286,51,51-b,51,flower,pun,1,The pastry chef brought his girlfriend #flowers on Valentine's Day.,1
287,52,52-b,52,fair,pun,1,The driver at the toll insisted it wasn't #fair.,1
288,53,53-b,53,heal,pun,1,He injured his foot and now it just won't #heal.,1
289,54,54-b,54,him,pun,1,I wrote a song about my priest so that I could perform it for #him.,1
290,55,55-b,55,knows,pun,1,Mother #knows best.,1
291,56,56-b,56,in,pun,1,When I stayed at the hotel I made sure I didn't sleep #in.,1
292,57,57-b,57,idle,pun,1,We spent some time looking for the celebrity before she realized she didn't want to #idle.,1
293,58,58-b,58,made,pun,1,She didn't want to clean up but I #made her.,1
294,59,59-b,59,none,pun,1,When the new church opened #none of us cared.,1
295,60,60-b,60,morning,pun,1,He cried when he woke up. It was #morning.,1
296,61,61-b,61,meet,pun,1,The butcher was very glad we could #meet.,1
297,62,62-b,62,real,pun,1,The fisherman couldn't believe what he caught; he didn't think it was #real.,1
298,63,63-b,63,pair,pun,1,If I were brave enough to be a fruit farmer I would grow a #pair.,1
299,64,64-b,64,prey,pun,1,All the birds in the parish were birds of #prey.,1
300,65,65-b,65,route,pun,1,If you want to make it all the way to a tree farm you had better take a different #route.,1
301,66,1-b,1,profit,depunned,1,Nationalism is a non #profit organization.,1
302,67,2-b,2,pie,depunned,1,I get my large waistline from too much #pie.,1
303,68,3-b,3,need,depunned,1,Mothers trade cake recipes on a #need to know basis.,1
304,69,4-b,4,or,depunned,1,The indecisive customer could not choose either #or.,1
305,70,5-b,5,tears,depunned,1,It was an emotional wedding. Even the mother-in-law was in #tears.,1
306,71,6-b,6,pole,depunned,1,A new country decided to conduct a gallup #pole.,1
307,72,7-b,7,board,depunned,1,At some executive galas there is a chairman of the #board.,1
308,73,8-b,8,grease,depunned,1,Did you know that dolmas were first made in #grease?,1
309,74,9-b,9,sign,depunned,1,I always prayed before my biology tests. I was hoping for a #sign from above.,1
310,75,10-b,10,principle,depunned,1,It was not church john disliked. It was just the #principle of it.,1
311,76,11-b,11,seedy,depunned,1,Some grocery stores are in a #seedy part of town.,1
312,77,12-b,12,hair,depunned,1,The professor got so mad he pulled his #hair out.,1
313,78,13-b,13,naughty,depunned,1,The young boy was admonished by his father. Apparently he had been #naughty.,1
314,79,14-b,14,taught,depunned,1,To learn skateboard tricks you have to be #taught.,1
315,80,15-b,15,marks,depunned,1,I dropped out of math class because of lousy #marks.,1
316,81,16-b,16,high,depunned,1,A boy who instinctively takes risks has a natural #high.,1
317,82,17-b,17,days,depunned,1,A teacher having a tough time longs for the end of the school #days.,1
318,83,18-b,18,pros,depunned,1,Bankers in jail have their #pros and cons.,1
319,84,19-b,19,plain,depunned,1,Do not expect to eat something fancy when you are driving because it is #plain food.,1
320,85,20-b,20,damn,depunned,1,I saw a horror movie last night. It was the best #damn movie I have ever seen.,1
321,86,21-b,21,hurts,depunned,1,My horse is so slow it #hurts.,1
322,87,22-b,22,roll,depunned,1,The directors had one great movie after another. They were on a #roll.,1
323,88,23-b,23,caller,depunned,1,The man put his name on the pocket of his shirt so he would have #caller ID.,1
324,89,24-b,24,steel,depunned,1,Bodybuilders have muscles of #steel.,1
325,90,25-b,25,die,depunned,1,When an actress saw her first wrinkle she thought she would #die.,1
326,91,26-b,26,waste,depunned,1,A cardboard fort would be a #waste of paper.,1
327,92,27-b,27,feat,depunned,1,Being able to fit size fourteen pants is quite a #feat.,1
328,93,28-b,28,allowed,depunned,1,The intern wanted to say something but he was not #allowed.,1
329,94,29-b,29,pale,depunned,1,Those who carry too many burdens start feeling #pale.,1
330,95,30-b,30,manner,depunned,1,A man's family is his anchor in a manor of speaking.,1
331,96,31-b,31,cash,depunned,1,An online poker tournament ended suddenly when the competitor #cashed in his chips.,1
332,97,32-b,32,rain,depunned,1,Britain is a wet place since the autumn has had a long #rain.,1
333,98,33-b,33,time,depunned,1,Tomato gardeners who work extra get #time and a half.,1
334,99,34-b,34,poor,depunned,1,If you say you have bad teeth I would say that was a #poor excuse.,1
335,100,35-b,35,guilt,depunned,1,People who like purple paint have a #guilt complex.,1
336,101,36-b,36,err,depunned,1,To #err is careless.,1
337,102,37-b,37,sun,depunned,1,When their parrot was little they only got rest after #sun down.,1
338,103,38-b,38,seas,depunned,1,Novice choristers make terrible singers because they cannot hit the high #sea's.,1
339,104,39-b,39,what,depunned,1,An optometrist is a bright spark who knows what's #what.,1
340,105,40-b,40,raiser,depunned,1,When the mayor wanted to balance the budget he turned to a fund #raiser.,1
341,106,1-b,1,profit,nonpun,1,Daniel is a biblical #profit known for interpreting dreams.,1
342,107,2-b,2,pie,nonpun,1,He can recite the number #pie up to ten decimal places.,1
343,108,3-b,3,need,nonpun,1,Bakers #need flour and milk together to make bread dough.,1
344,109,4-b,4,or,nonpun,1,The fisherman dipped the #or in the river.,1
345,110,5-b,5,tears,nonpun,1,Boxes are stacked in #tears in the warehouse.,1
346,111,6-b,6,pole,nonpun,1,Pollsters conducted a #pole on the popularity of the political candidates.,1
347,112,7-b,7,board,nonpun,1,The old man is alone all the time and is #board to tears.,1
348,113,8-b,8,grease,nonpun,1,#Grease is a country in the the southern portion of Europe.,1
349,114,9-b,9,sign,nonpun,1,In mathematics the #sign function is a function of an angle.,1
350,115,10-b,10,principle,nonpun,1,Ms. Wu is the #principle of our local high school.,1
351,116,11-b,11,seedy,nonpun,1,I bought a new #seedy today in classical music.,1
