sentenceID,sentenceType,c1,c2,maxKL
38,pun, cannot;hit;make;novice;singers , high;pirates;terrible ,0.00112600698596
39,pun, bright;electrician;spark , knows;what's ,0.038504824616
40,pun, fund , budget;mayor;slash;turned;wanted ,1.13539158911e-05
41,pun, know , boyscouts;know;ropes;tie ,0.00554314893378
42,pun, ask;ask , trees ,0.001318502776
43,pun, cheddar;cheese;colby , afraid;jack;jr;person;school ,7.46246016727e-05
44,pun, see , blind;see ,0.00115115309859
45,pun, keep;program , biology;know;whether ,0.000652154782408
46,pun, cost , get;rid;smell ,0.00100883245848
47,pun, rough , class;just;liking;stick;tried ,0.000132518630345
48,pun, pet , very ,5.27957514186e-06
49,pun, want , hive;long;want ,0.00218414636073
50,pun, not;really , careful;fast;run ,0.000347653111702
51,pun, chef;pastry , brought;day;girlfriend;valentine's ,0.00214738918855
52,pun, toll , driver;insisted;wasn't ,6.30496159517e-05
53,pun, injured , foot;just ,5.49681356924e-05
54,pun, perform;priest , song;wrote ,0.00137248950362
55,pun, mother , best;mother ,1.93706562282e-06
56,pun, stayed , hotel;made;sleep;sure ,0.0113014947692
57,pun, time , celebrity;looking;realized;spent;want ,5.95913413044e-05
58,pun, up , clean;want ,0.000147174085993
59,pun, new , cared;church;new;opened ,0.000136490185707
60,pun, cried , up;woke ,0.00334093051834
61,pun, glad , butcher;very ,0.000188044836617
62,pun, believe , caught;fisherman;think ,0.00208671558908
63,pun, fruit , brave;enough;farmer;fruit;grow ,6.09662062198e-05
64,pun, birds;birds , parish ,8.35533369499e-05
65,pun, better;farm;make;tree;want , different;take;way ,0.00146527349916
66,depunned, nationalism , non;organization ,0.000893829249745
67,depunned, get , large;waistline ,1.89227177113e-05
68,depunned, cake;know;recipes , basis;mothers;trade ,0.00357891785675
69,depunned, customer , choose;either;indecisive;not ,1.01401812609
70,depunned, even , emotional;mother-in-law;wedding ,0.000831825328112
71,depunned, gallup , conduct;country;decided;new ,2.51413247496e-05
72,depunned, chairman;executive , galas ,0.0412009052221
73,depunned, dolmas , dolmas;know;made ,3.55477397621e-06
74,depunned, prayed , above;biology;hoping;tests ,0.00041409119212
75,depunned, church;disliked;just , john;not ,0.000243666131969
76,depunned, part , grocery;part;stores;town ,2.11852052446e-07
77,depunned, got;mad;out;professor , pulled ,0.00052127173278
78,depunned, apparently;father , admonished;boy;young ,3.48585205609e-05
79,depunned, skateboard , learn;skateboard;tricks ,0.000416430273775
80,depunned, class;math , dropped;lousy;out ,0.000106566035849
81,depunned, risks , boy;instinctively;natural;takes ,0.00168468732797
82,depunned, end;having;longs;teacher , school;time;tough ,0.0182033037346
83,depunned, bankers;cons , jail ,0.000137329390034
84,depunned, fancy;food , driving;eat;expect;not ,0.00014723391375
85,depunned, horror , best;ever;movie;movie;night;saw;seen ,0.000109888857079
86,depunned, slow , horse;slow ,5.4688100229e-07
87,depunned, great , directors;movie ,9.9075265206e-05
88,depunned, id;man;name , pocket;put;shirt ,0.000262483986808
89,depunned, bodybuilders , muscles ,1.35268076315e-05
90,depunned, wrinkle , actress;saw;thought;wrinkle ,6.71546464034e-05
91,depunned, fort , cardboard;paper ,0.000535152832251
92,depunned, able , being;fit;fourteen;pants;quite;size ,3.09426579731e-05
93,depunned, intern;not;say , wanted ,6.72241122612e-05
94,depunned, carry , burdens;carry;feeling;start;those ,1.75216161968e-05
95,depunned, anchor;man's;manor , family;speaking ,0.000210686225612
96,depunned, competitor;ended;online;suddenly , chips;poker;tournament ,4.09949709408e-05
97,depunned, long;place , autumn;britain;wet ,0.00411529935189
98,depunned, gardeners;get;tomato , extra;work ,0.0134982874343
99,depunned, bad;excuse , say;say;teeth ,0.000466027877223
100,depunned, complex;people , like;paint;purple ,4.82306798217e-05
101,depunned, careless , careless ,0.0
102,depunned, parrot , got;only;parrot;rest ,0.000192136843276
103,depunned, cannot;choristers;hit;make;novice;singers , high;terrible ,0.00018285752986
104,depunned, bright;optometrist;spark , knows;what's ,0.0409936461413
105,depunned, fund , balance;budget;mayor;turned;wanted ,8.58936979687e-06
106,nonpun, biblical , daniel;dreams;interpreting;known ,8.79756340472e-05
107,nonpun, decimal , decimal;number;places;recite;ten;up ,4.22867144721e-05
108,nonpun, make , bakers;bread;dough;flour;milk;together ,0.000490919932179
109,nonpun, river , dipped;fisherman;river ,0.00278127773307
110,nonpun, boxes , boxes;stacked;warehouse ,9.01699177609e-06
111,nonpun, candidates;pollsters , conducted;political;popularity ,2.14354646879e-06
112,nonpun, alone , alone;man;old;tears;time ,0.000459781189437
113,nonpun, southern , country;europe;portion;southern ,5.76443938143e-06
114,nonpun, angle , function;function;mathematics ,0.00322375114162
115,nonpun, high;school , local;ms;wu ,0.000220043349663
116,nonpun, music , bought;classical;music;new ,5.73869286811e-07
117,nonpun, ran , fields;ran;rapidly ,4.99494529937e-05
118,nonpun, cabin , cabin;made;pine ,7.17819269542e-06
119,nonpun, clothesline , between;clothesline;hangs;poles ,2.66341079586e-05
120,nonpun, german , karl;philosopher ,3.24197207938e-05
121,nonpun, waved , say;waved ,8.74865560728e-05
122,nonpun, learning , bad;news ,0.000699326899823
123,nonpun, essays , essays;novels;written ,5.24268347883e-06
124,nonpun, landed , airport;landed ,5.28901860776e-06
125,nonpun, beaver , building;logs;sticks ,2.5018757716e-05
126,nonpun, speed , computer;mega;processing;speed;thirty-three ,7.82709585784e-06
127,nonpun, plays , leading;show;television ,0.000173262399388
128,nonpun, dog , dog;puts;walking ,4.73519999877e-06
129,nonpun, friend's , boy;candy;decided;friend's;not;wanted ,0.000154191957709
130,nonpun, hair;like;not , people ,0.000862918711824
131,nonpun, belt , belt;look;small;tiny ,7.49935293408e-05
132,nonpun, new , hurting;new;shoes;these ,9.340812008e-06
133,nonpun, class , class;poem;read;student ,7.37078100237e-05
134,nonpun, clean , filled;floor;water;worker ,1.48059259044e-05
135,nonpun, people , huge;live;those;wealthy ,8.88801541292e-05
136,nonpun, copies , copies;database;pages;stored;web ,4.72280297206e-07
137,nonpun, ended , ended;heir;king's;took ,5.38389366675e-05
138,nonpun, meals , chicken;creamy;favorite;flavored;sauce ,0.00899569439613
139,nonpun, opening;skin;surface , small;very ,0.000142961317956
140,nonpun, covered , frame ,7.75546860987e-07
141,nonpun, british , british;prince;throne;william ,7.68632619871e-06
142,nonpun, daughter , daughter ,0.0
143,nonpun, high , even;hard;sing;soprano ,6.70701166908e-05
144,nonpun, uses , bulb;desk;lamp;light;sixty;uses ,0.00359253621505
145,nonpun, used , beard;shave;used ,7.30164347197e-07
146,nonpun, easy , double;easy;tie ,0.00509792353162
147,nonpun, get , get;trees ,0.000182252120854
148,nonpun, score , hired;score;tests ,2.61000678896e-07
149,nonpun, poked , poked ,0.0
150,nonpun, biology;learned , works ,0.000342578928107
151,nonpun, unpleasant , unpleasant ,0.0
152,nonpun, school , school;took ,7.89784477233e-07
153,nonpun, forest , forest ,0.0
154,nonpun, angry , honey;steal;stung;tried ,0.0082287536158
155,nonpun, cars , slowly ,4.37872745078e-06
156,nonpun, kinds , baking;different;use ,0.000120819287181
157,nonpun, paid , paid ,0.0
158,nonpun, walking , bruised;walking ,1.58342985073e-05
159,nonpun, church , sang ,0.000256394168292
160,nonpun, answered , string ,0.000251117305406
161,nonpun, stayed , stayed ,0.0
162,nonpun, star , famous;movie;star ,2.91129172401e-06
163,nonpun, hired , clean;hired ,1.64372629039e-05
164,nonpun, pious , kind;pious;very ,7.20759185028e-05
165,nonpun, loved , died;loved ,1.70728191692e-05
166,nonpun, like , vegetarians ,5.77420693071e-05
167,nonpun, need , fish;need ,4.96654573679e-05
168,nonpun, apples , apples;ate ,1.17975534817e-05
169,nonpun, christians , bed;christians;customary ,2.64488186081e-06
170,nonpun, tree's , tree's;tripped ,7.04318865539e-06
171,nonpun, made , business;dollars;made;million;year ,1.10317702225e-05
172,nonpun, dessert , apple;dessert;like ,1.2042561336e-05
173,nonpun, computer , company;computer;programmers ,2.15764969279e-07
174,nonpun, car , car;care;problems;take ,1.602352695e-06
175,nonpun, sad , cheeks;movie;ran;sad;watched ,2.22876411137e-06
176,nonpun, flag , raised;up ,5.28534327439e-05
177,nonpun, company's;directors , meeting ,1.54994830637e-05
178,nonpun, plate , plate ,0.0
179,nonpun, boutique , boutique;clothes;says;store ,2.87623862073e-06
180,nonpun, believe , believe;physics ,1.37334675312e-05
181,nonpun, full , bar;drunken;full;people;unwashed ,0.000714545229768
182,nonpun, heads , heads;lots;people ,2.04364485895e-06
183,nonpun, boy , boy;child ,4.9513522835e-08
184,nonpun, mathematics , college;mathematics;students ,4.02085781506e-07
185,nonpun, school , got;high;high;school ,6.02320517522e-06
186,nonpun, feet , feet;statue;ten ,6.07791331897e-05
187,nonpun, week , seven;week ,2.88917830657e-07
188,nonpun, social , cons;networking;sites;social ,6.31190905229e-06
189,nonpun, beautiful , beautiful;felt;sister ,2.96752040269e-05
190,nonpun, give , give;not;say ,1.23316715647e-05
191,nonpun, fell , fell;leg ,5.64073925772e-07
192,nonpun, dress , bought;make;silk ,0.000105952543474
193,nonpun, phone , bank;phone ,2.19381886288e-06
194,nonpun, wood , made;ship;wood ,6.12076398775e-06
195,nonpun, scared , attack;heart;scared;very ,9.69294750636e-06
196,nonpun, time , dealing;time ,1.61819008477e-06
197,nonpun, exam , exam;passing;real;studying ,7.84867678331e-05
198,nonpun, family , car;family;son;use ,5.47883434759e-06
199,nonpun, looks , sick ,7.89689549557e-07
200,nonpun, food , party ,6.70016855632e-07
201,nonpun, bought , bought;chips;stocks;ten;years ,3.29287562043e-05
202,nonpun, city , fell;night ,3.77641465231e-06
203,nonpun, lunch , lunch;meeting ,4.85602701995e-07
204,nonpun, family , afford;buy;cannot;family;food ,3.28999147018e-06
205,nonpun, accused , accused;decides;innocence;jury;person ,2.80329899498e-06
206,nonpun, safe , being;better;safe;side ,1.7860811007e-06
207,nonpun, evening , evening;morning;rises;sets ,9.62145712888e-05
208,nonpun, high , high;mid-atlantic;ship ,1.41979285423e-09
209,nonpun, students , students;teacher;told ,7.08072551009e-06
210,nonpun, girl , church;fund;girl;local;organized ,1.46249255606e-05
211,nonpun, let's , let's ,0.0
212,nonpun, father , father;go;let;not;party ,0.000126219426873
213,nonpun, cheese;cheese , slices ,6.9991929885e-08
214,nonpun, know , answer;know ,1.56106326328e-05
215,nonpun, car , car;good;price ,8.98142620102e-05
216,nonpun, stingy , borrow;even;let;not;stingy ,1.01575693083e-05
217,nonpun, hair , hair;very ,7.39848274888e-05
218,nonpun, friend , friend ,0.0
219,nonpun, worry , okay;worry ,3.358998304e-06
220,nonpun, leg , performance ,1.3368769686e-05
221,nonpun, growing , among;growing;picked;pretty;weeds ,4.08806980347e-07
222,nonpun, rules , game;not;rules ,6.84208902581e-06
223,nonpun, wounds , just;takes;time;wounds ,1.63091714806e-05
224,nonpun, john , back;john;like;likes;sarah ,5.54786405159e-06
225,nonpun, almost;dictionary , word ,1.69320918153e-12
226,nonpun, close;come , door;room ,0.00175704247654
227,nonpun, sitting , doing;just;sitting ,7.47803952545e-06
228,nonpun, cake , cake ,0.0
229,nonpun, sense , made;sense ,6.4829430803e-07
230,nonpun, up , shining;sun;up;woke ,2.19671203147e-06
231,nonpun, able , able;finally;pals;pen ,3.08695987679e-05
232,nonpun, not , counterfeit;diamond;good;just;not;very ,2.15256898013e-05
233,nonpun, socks , matching;socks ,1.13829948691e-06
234,nonpun, eagle's , easily;mouse ,7.04511976803e-06
235,nonpun, home , faster;home;take;way ,9.87266137246e-05
