uniqueID,sentenceType,ob_homophone,sumKL,averageKL
235,nonpun,dam,6131.32113124,27.2503161388
235,nonpun,hertz,4952.10808724,5.15307813449
235,nonpun,role,1442.25666189,6.41002960842
235,nonpun,collar,319.45378649,6.5194650304
235,nonpun,steal,1130.56095312,0.284847808797
235,nonpun,dye,502.170185573,2.23186749144
235,nonpun,waist,1928.66109963,8.57182710945
235,nonpun,feet,877.073474808,3.89810433248
235,nonpun,aloud,231.127721166,1.02723431629
235,nonpun,pail,5673.42712676,5.90367026718
235,nonpun,manor,7314.50320127,7.6113456829
235,nonpun,cache,3888.4113007,4.04621363236
235,nonpun,reign,2661.29182836,11.8279636816
235,nonpun,thyme,15999.5622913,4.03113184463
235,nonpun,pore,27983.1852157,29.118819163
235,nonpun,gilt,0.554726725315,0.0616363028128
235,nonpun,heir,10435.0029312,46.3777908053
235,nonpun,son,0.0,0.0
235,nonpun,c's,190.647513111,0.19838450896
235,nonpun,watt,709127.911092,178.666644266
235,nonpun,razor,1428.70621155,29.1572696235
235,nonpun,knot,376.449622836,7.68264536401
235,nonpun,wood,65.5620509709,7.2846723301
235,nonpun,grader,396.103648892,8.08374793657
235,nonpun,eye,0.0,0.0
235,nonpun,cell,224.436628114,4.58033934927
235,nonpun,scent,0.0,0.0
235,nonpun,course,33.7228118916,3.74697909907
235,nonpun,deer,0.0,0.0
235,nonpun,bee,24522.2209652,25.5173995476
235,nonpun,brake,62.1487486089,6.90541651209
235,nonpun,flour,295.902118903,1.31512052846
235,nonpun,fare,0.0,0.0
235,nonpun,heel,31.3288725837,3.48098584263
235,nonpun,hymn,136.494667169,15.1660741299
235,nonpun,no's,3.59924979001,0.399916643334
235,nonpun,inn,0.0,0.0
235,nonpun,idol,1879.69715124,38.3611663518
235,nonpun,maid,37.5008644488,4.16676271653
235,nonpun,nun,89.8839865157,1.83436707175
235,nonpun,mourning,41.3721174814,4.59690194237
235,nonpun,meat,3.46411795935,0.384901995484
235,nonpun,reel,33.126235828,3.68069286978
235,nonpun,pear,38.5202068234,4.28002298038
235,nonpun,pray,249.185111326,5.08541043523
235,nonpun,root,30.3525285483,3.37250317204
235,nonpun,profit,247490.430933,257.53426736
235,nonpun,pie,1193.44767582,24.3560750168
235,nonpun,need,2.02484944212,0.0413234580024
235,nonpun,or,40.2553239371,0.178912550831
235,nonpun,tears,20652.9306632,21.4910828962
235,nonpun,pole,172.200354241,3.51429294368
235,nonpun,board,750.191773186,15.3100361875
235,nonpun,grease,0.0,0.0
235,nonpun,sign,722.048600067,3.20910488919
235,nonpun,principle,5.05723678048,0.561915197831
235,nonpun,seedy,459.71187394,0.478368235109
235,nonpun,hair,725.413986743,14.8043670764
235,nonpun,naughty,0.837351835105,0.0930390927894
235,nonpun,taught,732.24023826,14.9436783318
235,nonpun,marks,828.601229239,3.68267212995
235,nonpun,high,20.632403274,0.421069454571
235,nonpun,days,77.4291939039,8.6032437671
235,nonpun,pros,545.056527411,2.42247345516
235,nonpun,plain,17.0642891419,0.348250798815
235,nonpun,damn,5.97686677983,0.121976873058
235,nonpun,hurts,13.6442509361,1.51602788179
235,nonpun,roll,32.0904487532,0.142624216681
235,nonpun,caller,43.6973138369,4.85525709299
235,nonpun,steel,28.9135812469,0.590073086671
235,nonpun,die,922.29253953,4.09907795347
235,nonpun,waste,6.0965269038,0.6773918782
235,nonpun,feat,21.4322597242,0.0952544876633
235,nonpun,allowed,46.9533264726,0.208681450989
235,nonpun,pale,12.2692436287,1.36324929207
235,nonpun,manner,0.466112050974,0.0517902278859
235,nonpun,cash,18358.9701286,19.1040271889
235,nonpun,rain,16.7094985204,0.341010173885
235,nonpun,time,14.1765900093,1.5751766677
235,nonpun,poor,539.247786908,0.561131932266
235,nonpun,guilt,15009.4649767,15.6185899862
235,nonpun,err,33.1698364629,0.147421495391
235,nonpun,sun,15197.1109119,67.5427151641
235,nonpun,seas,1365.36698624,27.8646323722
235,nonpun,what,4.5038997454,0.0919163213347
235,nonpun,raiser,584.210272742,0.607919118358
235,nonpun,not,0.0,0.0
235,nonpun,would,273.492769636,0.284591851858
235,nonpun,grater,1546.279887,31.5567323878
235,nonpun,i,0.74962556674,0.0832917296377
235,nonpun,sell,409.402179556,8.35514652156
235,nonpun,cent,943.160342636,0.981436360703
235,nonpun,coarse,3.31558942808,0.368398825343
235,nonpun,dear,0.0,0.0
235,nonpun,be,0.522309341542,0.0580343712825
235,nonpun,break,10.3260337719,1.14733708576
235,nonpun,flower,68654.0937266,71.4402640236
235,nonpun,fair,143.844716667,2.93560646258
235,nonpun,heal,1063.4165598,4.72629582135
235,nonpun,him,274.155322738,0.285281293172
235,nonpun,knows,15.9859148045,0.326243159275
235,nonpun,in,520.459280265,2.31315235673
235,nonpun,idle,66.3900142458,1.35489824991
235,nonpun,made,0.0,0.0
235,nonpun,none,0.659865839901,0.0733184266557
235,nonpun,morning,17951.6604104,79.7851573796
235,nonpun,meet,118.890323036,0.528401435717
235,nonpun,real,8939.78107242,2.25240137879
235,nonpun,pair,186.725251795,20.7472501995
235,nonpun,prey,239.600496656,4.88980605419
235,nonpun,route,1755.60554024,7.80269128997
