sentenceID,homophoneID,phoneticID,homophone,sentenceType,isOrig,sentence,funniness,correctness,dummy,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,sum7_8,sentenceLength
73,8-a,8,greece,depunned,0,Did you know that dolmas were first made in #Greece?,-0.546340062,0.33899129,1,2.424158072,0.435198541,8.58E-05,1.54E-05,2.94E-05,7.79E-06,8.58E-05,3.55E-06,8.58E-05,8.94E-05,10
74,9-a,9,sine,depunned,0,I always prayed before my biology tests. I was hoping for a #sine from above.,0.404942905,-1.014386383,1,2.114773695,0.216601691,5.10E-06,5.22E-07,8.64E-07,1.79E-07,5.10E-06,0.000414091,5.10E-06,4.19E-04,15
75,10-a,10,principal,depunned,0,It was not church john disliked. It was just the #principal of it.,0.306823333,-0.723570061,1,1.884667437,0.279918812,8.76E-05,1.30E-05,2.50E-05,4.43E-06,8.76E-05,0.000243666,8.76E-05,3.31E-04,13
76,11-a,11,cd,depunned,0,Some grocery stores are in a #CD part of town.,0.041303001,-0.944990039,1,5.662672986,0.699813017,0.001796109,0.000221969,0.000500871,9.51E-05,0.001796109,2.12E-07,0.001796109,1.80E-03,10
77,12-a,12,hare,depunned,0,The professor got so mad he pulled his #hare out.,0.328649854,-0.604605221,1,2.054251231,0.215855224,6.76E-06,7.10E-07,9.73E-07,2.46E-07,6.76E-06,0.000521272,6.76E-06,5.28E-04,10
78,13-a,13,knotty,depunned,0,The young boy was admonished by his father. Apparently he had been #knotty.,0.064647189,-0.861771163,1,1.579547584,0.197927275,5.32E-07,6.67E-08,6.98E-08,2.29E-08,5.32E-07,3.49E-05,5.32E-07,3.54E-05,13
79,14-a,14,taut,depunned,0,To learn skateboard tricks you have to be #taut.,-0.049442604,-0.698190103,1,0.612193278,0.132606758,3.73E-07,8.09E-08,8.97E-08,3.67E-08,3.73E-07,0.00041643,3.73E-07,4.17E-04,9
80,15-a,15,marx,depunned,0,I dropped out of math class because of lousy #Marx.,0.081925348,-0.927987143,1,6.116799299,0.471570014,3.14E-05,2.42E-06,5.88E-06,8.69E-07,3.14E-05,0.000106566,3.14E-05,1.38E-04,10
81,16-a,16,hi,depunned,0,A boy who instinctively takes risks has a natural #hi.,-0.186194839,-1.003398418,1,1.401000975,0.179452728,0.000157314,2.02E-05,2.31E-05,6.81E-06,0.000157314,0.001684687,0.000157314,1.84E-03,10
82,17-a,17,daze,depunned,0,A teacher having a tough time longs for the end of the school #daze.,0.467035,-0.740203098,1,2.817901198,0.219978877,3.41E-06,2.66E-07,4.72E-07,6.58E-08,3.41E-06,0.018203304,3.41E-06,1.82E-02,14
83,18-a,18,prose,depunned,0,Bankers in jail have their #prose and cons.,0.343680685,-0.815923955,1,0.579071323,0.133841635,2.98E-06,6.88E-07,7.15E-07,3.10E-07,2.98E-06,0.000137329,2.98E-06,1.40E-04,8
84,19-a,19,plane,depunned,0,Do not expect to eat something fancy when you are driving because it is #plane food.,0.816248555,-0.546533348,1,1.636036891,0.203673382,4.84E-05,6.03E-06,1.10E-05,1.69E-06,4.84E-05,0.000147234,4.84E-05,1.96E-04,16
85,20-a,20,dam,depunned,0,I saw a horror movie last night. It was the best #dam movie I have ever seen.,-0.152108477,-0.555241143,1,3.4316402,0.178039841,5.25E-05,2.72E-06,4.59E-06,5.87E-07,5.25E-05,0.000109889,5.25E-05,1.62E-04,17
86,21-a,21,hertz,depunned,0,My horse is so slow it #hertz.,-0.101169733,-0.883104842,1,0.306956342,0.105201566,8.93E-07,3.06E-07,3.06E-07,1.67E-07,8.93E-07,5.47E-07,8.93E-07,1.44E-06,7
87,22-a,22,role,depunned,0,The directors had one great movie after another. They were on a #role.,0.248735967,-0.36041321,1,51.54165891,9.862628169,0.006311946,0.001207807,0.002164998,0.000546268,0.006311946,9.91E-05,0.006311946,6.41E-03,13
88,23-a,23,collar,depunned,0,The man put his name on the pocket of his shirt so he would have #collar ID.,1.018225003,-0.319214182,1,49.66592699,5.732327333,0.000620824,7.17E-05,0.000104813,1.86E-05,0.000620824,0.000262484,0.000620824,8.83E-04,17
89,24-a,24,steal,depunned,0,Bodybuilders have muscles of #steal.,-0.398578255,-1.03412461,1,0.197122278,0.067933038,2.05E-06,7.07E-07,7.03E-07,3.68E-07,2.05E-06,1.35E-05,2.05E-06,1.56E-05,5
90,25-a,25,dye,depunned,0,When an actress saw her first wrinkle she thought she would #dye.,0.418063329,-1.00552277,1,1.239106941,0.202977732,9.40E-06,1.54E-06,2.12E-06,6.18E-07,9.40E-06,6.72E-05,9.40E-06,7.66E-05,12
91,26-a,26,waist,depunned,0,A cardboard fort would be a #waist of paper.,-0.487759475,-0.677924888,1,0.628641679,0.140730968,5.24E-06,1.17E-06,1.26E-06,5.30E-07,5.24E-06,0.000535153,5.24E-06,5.40E-04,9
92,27-a,27,feet,depunned,0,Being able to fit size fourteen pants is quite a #feet.,0.219053398,-0.913153294,1,8.714849648,0.742192339,0.000827911,7.05E-05,0.000141683,1.61E-05,0.000827911,3.09E-05,0.000827911,8.59E-04,11
93,28-a,28,aloud,depunned,0,The intern wanted to say something but he was not #aloud.,0.108281046,-0.651895701,1,12.1388494,1.600101297,7.55E-05,9.95E-06,2.19E-05,4.34E-06,7.55E-05,6.72E-05,7.55E-05,1.43E-04,11
94,29-a,29,pail,depunned,0,Those who carry too many burdens start feeling #pail.,0.048432206,-0.75245089,1,7.63378901,0.636416842,6.89E-06,5.74E-07,1.44E-06,2.07E-07,6.89E-06,1.75E-05,6.89E-06,2.44E-05,9
95,30-a,30,manor,depunned,0,A man's family is his anchor in a manor of speaking.,-0.286767324,-0.493993393,1,68.01533668,9.159989359,0.000802581,0.000108088,0.000222085,3.66E-05,0.000802581,0.000210686,0.000802581,1.01E-03,11
96,31-a,31,cache,depunned,0,An online poker tournament ended suddenly when the competitor #cached in his chips.,0.375400152,-0.480185032,1,12.86861221,0.679852282,0.000275388,1.45E-05,4.90E-05,3.67E-06,0.000275388,4.10E-05,0.000275388,3.16E-04,13
97,32-a,32,reign,depunned,0,Britain is a wet place since the autumn has had a long #reign.,0.291173511,-0.574004916,1,15.08475375,1.823601476,8.79E-05,1.06E-05,2.41E-05,3.56E-06,8.79E-05,0.004115299,8.79E-05,4.20E-03,13
98,33-a,33,thyme,depunned,0,Tomato gardeners who work extra get #thyme and a half.,1.268895866,-0.719290189,1,22.79772768,2.255549732,3.81E-05,3.77E-06,8.69E-06,1.30E-06,3.81E-05,0.013498287,3.81E-05,1.35E-02,10
99,34-a,34,pore,depunned,0,If you say you have bad teeth I would say that was a #pore excuse.,0.039611812,-1.031978071,1,1.644975466,0.199500524,3.52E-06,4.27E-07,4.83E-07,1.46E-07,3.52E-06,0.000466028,3.52E-06,4.70E-04,15
100,35-a,35,gilt,depunned,0,People who like purple paint have a #gilt complex.,-0.21847319,-0.329501405,1,1.357216521,0.16151088,2.61E-06,3.10E-07,4.62E-07,1.04E-07,2.61E-06,4.82E-05,2.61E-06,5.08E-05,9
101,36-a,36,heir,depunned,0,To #heir is careless.,-0.183402836,-0.946180354,1,0,0,0,0,0,0,0,0,0,0.00E+00,4
102,37-a,37,son,depunned,0,When their parrot was little they only got rest after #son down.,-0.161363265,-0.607899893,1,1.842773911,0.233230284,0.000178012,2.25E-05,4.27E-05,9.18E-06,0.000178012,0.000192137,0.000178012,3.70E-04,12
103,38-a,38,c's,depunned,0,Novice choristers make terrible singers because they cannot hit the high #C's.,-0.252778748,-0.234996958,1,3.266116415,0.18119508,0.000105496,5.85E-06,9.89E-06,1.22E-06,0.000105496,0.000182858,0.000105496,2.88E-04,12
104,39-a,39,watt,depunned,0,An optometrist is a bright spark who knows what's #watt.,0.21787527,-0.886135847,1,27.62700762,2.422555511,0.000370202,3.25E-05,8.10E-05,1.12E-05,0.000370202,0.040993646,0.000370202,4.14E-02,10
105,40-a,40,razor,depunned,0,When the mayor wanted to balance the budget he turned to a fund #razor.,0.903298846,-0.764344489,1,2.026407006,0.198436434,1.17E-05,1.14E-06,1.29E-06,3.37E-07,1.17E-05,8.59E-06,1.17E-05,2.03E-05,14
106,1-a,1,prophet,nonpun,0,Daniel is a biblical #prophet known for interpreting dreams.,-0.616442572,0.774994058,1,197.5374004,21.63341985,0.001750181,0.000191672,0.000229257,5.42E-05,0.001750181,8.80E-05,0.001750181,1.84E-03,9
107,2-a,2,pi,nonpun,0,He can recite the number #pi up to ten decimal places.,-0.701418837,0.894341344,1,290.7837623,33.80371877,0.005931989,0.000689596,0.001797884,0.000183024,0.005931989,4.23E-05,0.005931989,5.97E-03,11
108,3-a,3,knead,nonpun,0,Bakers #knead flour and milk together to make bread dough.,-0.463161833,0.90604724,1,17610.15493,681.9887857,0.006991232,0.00027075,0.000575758,4.56E-05,0.006991232,0.00049092,0.006991232,7.48E-03,10
109,4-a,4,oar,nonpun,0,The fisherman dipped the #oar in the river.,-0.453091203,0.748322469,1,72.14834142,14.85727652,0.000108944,2.24E-05,2.74E-05,9.73E-06,0.000108944,0.002781278,0.000108944,2.89E-03,8
110,5-a,5,tiers,nonpun,0,Boxes are stacked in #tiers in the warehouse.,-0.559532321,1.057234942,1,5.380941331,1.860347874,7.96E-06,2.75E-06,3.19E-06,1.34E-06,7.96E-06,9.02E-06,7.96E-06,1.70E-05,8
111,6-a,6,poll,nonpun,0,Pollsters conducted a #poll on the popularity of the political candidates.,-0.478534317,0.905162246,1,4210.094266,298.7897481,0.164614686,0.011682679,0.019366753,0.002948928,0.164614686,2.14E-06,0.164614686,1.65E-01,11
112,7-a,7,bored,nonpun,0,The old man is alone all the time and is #bored to tears.,-0.499406276,0.675327617,1,2.876210619,0.642219283,2.45E-05,5.47E-06,6.59E-06,1.78E-06,2.45E-05,0.000459781,2.45E-05,4.84E-04,13
113,8-a,8,greece,nonpun,0,#Greece is a country in the the southern portion of Europe.,-0.549920934,0.963647103,1,110.9006009,15.81556515,0.003925881,0.000559871,0.001049521,0.000211927,0.003925881,5.76E-06,0.003925881,3.93E-03,11
114,9-a,9,sine,nonpun,0,In mathematics the #sine function is a function of an angle.,-0.783115617,0.305165884,1,240.5331224,29.72987328,0.000579685,7.16E-05,9.74E-05,2.39E-05,0.000579685,0.003223751,0.000579685,3.80E-03,11
115,10-a,10,principal,nonpun,0,Ms. Wu is the #principal of our local high school.,-0.538246309,0.984333204,1,23.19740032,5.499206842,0.001078679,0.000255713,0.000416939,8.75E-05,0.001078679,0.000220043,0.001078679,1.30E-03,10
116,11-a,11,cd,nonpun,0,I bought a new #CD today in classical music.,-0.448309592,-0.364464997,1,61.14052517,11.483846,0.019392796,0.003642492,0.003520981,0.00132877,0.019392796,5.74E-07,0.019392796,1.94E-02,9
