sentenceID	sentence	m1	m2	dummy
55	Some people have to get up for work at the #crank of dawn.	crank	crack	1
56	Some planes are so cramped that passengers suffer jet #leg.	leg	lag	1
57	Ten years without brushing causes horrible tooth #decade.	decade	decay	1
58	The actor was never quite right after he retired. He had Post #Dramatic Stress Disorder.	Dramatic	traumatic	1
59	The English Teacher felt odd after being fired: it was post #grammatic stress disorder.	grammatic	traumatic	1
60	The garden club visited the nursery and found themselves in a #hosta environment.	hosta	hostile	1
61	The Irish should be rich because their capital is always #Dublin.	Dublin	doubling	1
62	The optical scientist who stole his colleague's bifocals was sentenced to three years in a state #prism.	prism	prison	1
63	The plumber explained that the problem in my kitchen was just water under the #fridge.	fridge	bridge	1
64	The robber baron was a commander in #thief.	thief	chief	1
65	The satellite went into orbit on January 1st causing a new year's #revolution.	revolution	resolution	1
66	The twin girls rented flora to offices. They called their business 'Sisterhood of the Traveling #Plants'.	Plants	Pants	1
67	There was a dentist who was convicted of #incisor trading.	incisor	insider	1
68	They were the quietest burglars in the history of New York City. The newspapers called them 'Criminal #Mimes.'	Mimes	minds	1
69	Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for #glittering.	glittering	littering	1
70	To become a pilot requires a good #altitude.	altitude	attitude	1
71	To some Christmas is about other people's #presence.	presence	presents	1
72	Vampires are always looking for their #necks victim.	necks	next	1
73	What does a villain call his silverware? Weapons of mass #digestion.	digestion	distruction	1
74	What would be the brand name of the highest quality copy paper money could buy? The #ream of the crop!	ream	cream	1
75	What you #seize is what you get.	seize	see	1
76	"When she made Mario Puzo's books required reading for her class, she made him an #author they couldn't refuse."	author	offer	1
77	"When the crop was destroyed, there was no more cranberry #source."	source	sauce	1
78	When you use glue in class it #paste to be careful.	paste	pays	1
79	Why are Italians so good at making coffee? Because they really know how to #espresso themselves.	espresso	express	1
80	Women who wear $200.00 perfume obviously are known to have no common #scents.	scents	sense	1
