sentenceID	sentenceType	homophoneID	version	sentence	m1	m2	condition
33	pun	33	a	"In the novel, there is an unexpected secret meeting of the lovers. It is a plot tryst."	tryst	twist	4
34	pun	34	a	Inflammatory talk is often seen as propane language.	propane	profane	4
35	pun	35	a	"John plans to retire in the spring and, like the trees around us, will be leafing."	leafing	leaving	4
36	pun	36	a	"Just in time for Thanksgiving: a blockbuster movie about sweet potatoes, called 'The Silence of the Yams'."	yams	Lambs	4
37	pun	37	a	"Last night, I kept dreaming that I had written Lord of the Rings. The wife said I'd been Tolkien in my sleep."	tolkien	talking	4
38	pun	38	a	Many people are strongly attracted to a magnate.	magnate	magnet	4
39	pun	39	a	Many people think that Edgar Allan Poe was a raven madman.	raven	raving	4
40	pun	40	a	"My battery had an alkaline problem, so it went to AA meetings."	alkaline	alcohol	4
41	pun	41	a	My boss does not tolerate any beards or mustaches. He is a real shave driver.	shave	slave	5
42	pun	42	a	My heart starts Aiken when Clay sings.	aiken	aching	5
43	pun	43	a	My neighbor's sprinkler is a constant irrigation to me.	irrigation	irritation	5
44	pun	44	a	My two uncles bet who would get married first. Then one upped the auntie.	auntie	ante	5
45	pun	45	a	New years resolution for the bankrupt gardener was to forget the past and rely on the fuchsia.	fuchsia	future	5
46	pun	46	a	On organic farms they till it like it is.	till	tell	5
47	pun	47	a	"One real estate agent said to another, House it going?"	house	how's	5
48	pun	48	a	People have a happy time vacationing in Ireland because they are walking on Eire.	eire	fire	5
49	pun	49	a	People in Switzerland can't learn to ski without a lot of Alp.	alp	help	5
50	pun	50	a	Scarecrows are always garden their patch.	garden	guarding	5
51	pun	51	a	Selling coffee has its perks for those who have bean so lucky.	bean	been	6
52	pun	52	a	"Sign on a broken perfume bottle, Out of odor."	odor	order	6
53	pun	53	a	Sign: 'Please turn out the lights. Thanks a watt.'	watt	lot	6
54	pun	54	a	Some children are often on their pest behavior.	pest	best	6
55	pun	55	a	Some people have to get up for work at the crank of dawn.	crank	crack	6
56	pun	56	a	Some planes are so cramped that passengers suffer jet leg.	leg	lag	6
57	pun	57	a	Ten years without brushing causes horrible tooth decade.	decade	decay	6
58	pun	58	a	The actor was never quite right after he retired. He had Post Dramatic Stress Disorder.	dramatic	traumatic	6
59	pun	59	a	The English Teacher felt odd after being fired: it was post grammatic stress disorder.	grammatic	traumatic	6
60	pun	60	a	The garden club visited the nursery and found themselves in a hosta environment.	hosta	hostile	6
61	pun	61	a	The Irish should be rich because their capital is always Dublin.	dublin	doubling	7
62	pun	62	a	The optical scientist who stole his colleague's bifocals was sentenced to three years in a state prism.	prism	prison	7
63	pun	63	a	The plumber explained that the problem in my kitchen was just water under the fridge.	fridge	bridge	7
64	pun	64	a	The robber baron was a commander in thief.	thief	chief	7
65	pun	65	a	The satellite went into orbit on January 1st causing a new year's revolution.	revolution	resolution	7
66	pun	66	a	The twin girls rented flora to offices. They called their business 'Sisterhood of the Traveling Plants'.	plants	Pants	7
67	pun	67	a	There was a dentist who was convicted of incisor trading.	incisor	insider	7
68	pun	68	a	They were the quietest burglars in the history of New York City. The newspapers called them 'Criminal Mimes.'	mimes	minds	7
69	pun	69	a	Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for glittering.	glittering	littering	7
70	pun	70	a	To become a pilot requires a good altitude.	altitude	attitude	7
71	pun	71	a	To some Christmas is about other people's presence.	presence	presents	8
72	pun	72	a	Vampires are always looking for their necks victim.	necks	next	8
73	pun	73	a	What does a villain call his silverware? Weapons of mass digestion.	digestion	destruction	8
74	pun	74	a	What would be the brand name of the highest quality copy paper money could buy? The ream of the crop!	ream	cream	8
75	pun	75	a	What you seize is what you get.	seize	see	8
76	pun	76	a	"When she made Mario Puzo's books required reading for her class, she made him an author they couldn't refuse."	author	offer	8
77	pun	77	a	"When the crop was destroyed, there was no more cranberry source."	source	sauce	8
78	pun	78	a	When you use glue in class it paste to be careful.	paste	pays	8
79	pun	79	a	Why are Italians so good at making coffee? Because they really know how to espresso themselves.	espresso	express	8
80	pun	80	a	Women who wear $200.00 perfume obviously are known to have no common scents.	scents	sense	8
81	pun	1	b	A circus truck driver refused to tow the line.	line	lion	2
82	pun	2	b	A dentist has to tell a patient the whole truth.	truth	tooth	2
83	pun	3	b	"A handlebar mustache may look ridiculous, but symmetrical eyelashes are even sillier."	sillier	cilia	2
84	pun	4	b	A man used money that he had inherited from his late father and put an addition on his house. It was an hair extension.	hair	heir	2
85	pun	5	b	A men's wear store has opening and closing times.	closing	clothing	2
86	pun	6	b	A paramedic got a new job as a chauffeur: an ambulance driver.	ambulance	ambiance	2
87	pun	7	b	A pet store had a bird contest with no purchase necessary.	purchase	perches	2
88	pun	8	b	A pun is its own reward.	reward	reword	2
89	pun	9	b	A rubber band pistol was confiscated from algebra class because it was a weapon of mass disruption.	mass	math	2
90	pun	10	b	A thief who stole cutlery without leaving a clue was called the 'stainless steeler.'	steeler	stealer	2
91	pun	11	b	"After getting pranked by his friends and getting hit with a basket, Aron knew they had a wicked sense of humor."	wicked	wicker	1
92	pun	12	b	Aliens are lovable because they're so special.	special	spatial	1
93	pun	13	b	An astronaut gets to take a turn as a world traveler.	world	whirled	1
94	pun	14	b	"As a young boy, Brutus' mother often cautioned him not to run with scissors."	scissors	caesars	1
95	pun	15	b	Astronauts like to do lunch.	lunch	launch	1
96	pun	16	b	At a flower show the first prize is often a blue ribbon.	blue	bloom	1
97	pun	17	b	"At a pet store: 'buy one dog, get one free'."	free	flea	1
98	pun	18	b	Be kind to your dentist because he has feelings too.	feelings	fillings	1
99	pun	19	b	"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the Salvation Army."	salvation	salivation	1
100	pun	20	b	Dentists don't like a hard day at the office.	office	orifice	1
101	pun	21	b	"Even though Ashley was blind and under arrest, she still had hope that someone would bail her out."	bail	braille	4
102	pun	22	b	"Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a spur of the moment decision."	spur	sperm	4
103	pun	23	b	For children to eat without washing their hands would be a crime.	crime	grime	4
104	pun	24	b	Grandparents faces are full of pock marks.	pock	epoch	4
105	pun	25	b	He labored so hard that he worked his fingers to the bones.	bones	bonus	4
106	pun	26	b	I keep reading 'The Lord of the Rings' over and over. I guess it's just force of habit.	habit	hobbit	4
107	pun	27	b	I like the latest horror movie so much that I've arranged a private screening.	screening	screaming	4
108	pun	28	b	I like to stay current with the electrifying adventures of Sherlock Holmes.	Holmes	ohms	4
109	pun	29	b	I need to do my philosophy homework but I just can't.	can't	kant	4
110	pun	30	b	If a barista is not allowed to make espresso she will lose her temper.	temper	tamper	4
111	pun	31	b	If you spend too much time in the coffee shop you'll be late for work.	late	latte	3
112	pun	32	b	If you write bad things about me I am liable to sue you.	liable	libel	3
113	pun	33	b	"In the novel, there is an unexpected secret meeting of the lovers. It is a plot twist."	twist	tryst	3
114	pun	34	b	Inflammatory talk is often seen as profane language.	profane	propane	3
115	pun	35	b	"John plans to retire in the spring and, like the trees around us, will be leaving."	leaving	leafing	3
116	pun	36	b	"Just in time for Thanksgiving: a blockbuster movie about sweet potatoes, called 'The Silence of the Lambs'."	Lambs	yams	3
117	pun	37	b	"Last night, I kept dreaming that I had written Lord of the Rings. The wife said I'd been talking in my sleep."	talking	tolkien	3
118	pun	38	b	Many people are strongly attracted to a magnet.	magnet	magnate	3
119	pun	39	b	Many people think that Edgar Allan Poe was a raving madman.	raving	raven	3
120	pun	40	b	"My battery had an alcohol problem, so it went to AA meetings."	alcohol	alkaline	3
121	pun	41	b	My boss does not tolerate any beards or mustaches. He is a real slave driver.	slave	shave	6
122	pun	42	b	My heart starts aching when Clay sings.	aching	aiken	6
123	pun	43	b	My neighbor's sprinkler is a constant irritation to me.	irritation	irrigation	6
124	pun	44	b	My two uncles bet who would get married first. Then one upped the ante.	ante	auntie	6
125	pun	45	b	New years resolution for the bankrupt gardener was to forget the past and rely on the future.	future	fuchsia	6
126	pun	46	b	On organic farms they tell it like it is.	tell	till	6
127	pun	47	b	"One real estate agent said to another, How's it going?"	how's	house	6
128	pun	48	b	People have a happy time vacationing in Ireland because they are walking on fire.	fire	eire	6
129	pun	49	b	People in Switzerland can't learn to ski without a lot of help.	help	alp	6
130	pun	50	b	Scarecrows are always guarding their patch.	guarding	garden	6
131	pun	51	b	Selling coffee has its perks for those who have been so lucky.	been	bean	5
132	pun	52	b	"Sign on a broken perfume bottle, Out of order."	order	odor	5
133	pun	53	b	Sign: 'Please turn out the lights. Thanks a lot.'	lot	watt	5
134	pun	54	b	Some children are often on their best behavior.	best	pest	5
135	pun	55	b	Some people have to get up for work at the crack of dawn.	crack	crank	5
136	pun	56	b	Some planes are so cramped that passengers suffer jet lag.	lag	leg	5
137	pun	57	b	Ten years without brushing causes horrible tooth decay.	decay	decade	5
138	pun	58	b	The actor was never quite right after he retired. He had Post Traumatic Stress Disorder.	traumatic	dramatic	5
139	pun	59	b	The English Teacher felt odd after being fired: it was post traumatic stress disorder.	traumatic	grammatic	5
140	pun	60	b	The garden club visited the nursery and found themselves in a hostile environment.	hostile	hosta	5
141	pun	61	b	The Irish should be rich because their capital is always doubling.	doubling	dublin	8
142	pun	62	b	The optical scientist who stole his colleague's bifocals was sentenced to three years in a state prison.	prison	prism	8
143	pun	63	b	The plumber explained that the problem in my kitchen was just water under the bridge.	bridge	fridge	8
144	pun	64	b	The robber baron was a commander in chief.	chief	thief	8
145	pun	65	b	The satellite went into orbit on January 1st causing a new year's resolution.	resolution	revolution	8
146	pun	66	b	The twin girls rented flora to offices. They called their business 'Sisterhood of the Traveling Pants'.	Pants	plants	8
147	pun	67	b	There was a dentist who was convicted of insider trading.	insider	incisor	8
148	pun	68	b	They were the quietest burglars in the history of New York City. The newspapers called them 'Criminal minds.'	minds	mimes	8
149	pun	69	b	Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for littering.	littering	glittering	8
150	pun	70	b	To become a pilot requires a good attitude.	attitude	altitude	8
151	pun	71	b	To some Christmas is about other people's presents.	presents	presence	7
152	pun	72	b	Vampires are always looking for their next victim.	next	necks	7
153	pun	73	b	What does a villain call his silverware? Weapons of mass destruction.	destruction	digestion	7
154	pun	74	b	What would be the brand name of the highest quality copy paper money could buy? The cream of the crop!	cream	ream	7
155	pun	75	b	What you see is what you get.	see	seize	7
156	pun	76	b	"When she made Mario Puzo's books required reading for her class, she made him an offer they couldn't refuse."	offer	author	7
157	pun	77	b	"When the crop was destroyed, there was no more cranberry sauce."	sauce	source	7
158	pun	78	b	When you use glue in class it pays to be careful.	pays	paste	7
159	pun	79	b	Why are Italians so good at making coffee? Because they really know how to express themselves.	express	espresso	7
160	pun	80	b	Women who wear $200.00 perfume obviously are known to have no common sense.	sense	scents	7
161	nonpun	1	a	The owner takes the lion's share of profits from the company.	lion	line	4
162	nonpun	2	a	A dentist examines one tooth at a time.	tooth	truth	4
163	nonpun	3	a	Cilia are hairlike projections on the surface of some cells.	cilia	sillier	4
164	nonpun	4	a	Prince William is heir to the British throne.	heir	hair	4
165	nonpun	5	a	Food and clothing are basic necessities.	clothing	closing	4
166	nonpun	6	a	The ambiance in that hotel is one of warmth and charm.	ambiance	ambulance	4
167	nonpun	7	a	Pigeons use the sunny sides of roofs as perches.	perches	purchase	4
168	nonpun	8	a	"The mayor reworded his speech, because his advisors told him to do so."	reword	reward	4
169	nonpun	9	a	I have a math exam today at school.	math	mass	4
170	nonpun	10	a	He is a stealer of hearts.	stealer	steeler	4
171	nonpun	11	a	That chair is made of wicker.	wicker	wicked	3
172	nonpun	12	a	She has good spatial skills; she knows how to build a house from plans on paper.	spatial	special	3
173	nonpun	13	a	Dancers whirled on the stage.	whirled	world	3
174	nonpun	14	a	The owner behaves like a little Caesar with his employees.	caesars	scissors	3
175	nonpun	15	a	The space launch took place this morning.	launch	lunch	3
176	nonpun	16	a	Our apple tree was in bloom last week. 	bloom	blue	3
177	nonpun	17	a	His dog has fleas.	flea	free	3
178	nonpun	18	a	The dentist replaced two fillings I had lost. 	fillings	feelings	3
179	nonpun	19	a	The dog's salivation was all over the carpet.	salivation	salvation	3
180	nonpun	20	a	The mouth is an orifice.	orifice	office	3
181	nonpun	21	a	He reads braille with his fingertips.	braille	bail	2
182	nonpun	22	a	He decided to donate his sperm.	sperm	spur	2
183	nonpun	23	a	The city's buildings are covered with grime.	grime	crime	2
184	nonpun	24	a	The end of the nuclear arms race began a new epoch of peace and cooperation.	epoch	pock	2
185	nonpun	25	a	Our company pays everyone a bonus at the end of the year.	bonus	bones	2
186	nonpun	26	a	My favorite creatures in Lord of the Rings are hobbits.	hobbit	habit	2
187	nonpun	27	a	She started screaming when the man pulled out a knife.	screaming	screening	2
188	nonpun	28	a	Ohms are used to measure electrical resistance.	ohms	Holmes	2
189	nonpun	29	a	Kant was a German philosopher.	kant	can't	2
190	nonpun	30	a	The barista used a tamper to press down the coffee.	tamper	temper	2
191	nonpun	31	a	I like a latte in the morning to wake me up.	latte	late	1
192	nonpun	32	a	The tabloid newspaper libeled a movie star.	libel	liable	1
193	nonpun	33	a	The lovers go away to the country for weekend trysts.	tryst	twist	1
194	nonpun	34	a	He burns propane gas in his stove.	propane	profane	1
195	nonpun	35	a	He saw her leafing through the pages of an old book.	leafing	leaving	1
196	nonpun	36	a	Some people eat yams with their turkey.	yams	Lambs	1
197	nonpun	37	a	Tolkien wrote Lord of the Rings.	tolkien	talking	1
198	nonpun	38	a	She is a coal and iron magnate from Australia.	magnate	magnet	1
199	nonpun	39	a	A raven is a large black bird.	raven	raving	1
200	nonpun	40	a	He tried out an alkaline diet to maintain the body's ideal pH balance.	alkaline	alcohol	1
201	nonpun	41	a	Your beard is growing too long; you need a shave.	shave	slave	8
202	nonpun	42	a	Clay Aiken rose to fame after he won American Idol. 	aiken	aching	8
203	nonpun	43	a	Irrigation is the artificial application of water to the land or soil	irrigation	irritation	8
204	nonpun	44	a	My Auntie Betty is my mother's sister.	auntie	ante	8
205	nonpun	45	a	Her favorite flower is the fuchsia.	fuchsia	future	8
206	nonpun	46	a	Farmers till the soil in the springtime. 	till	tell	8
207	nonpun	47	a	Our house is located on the corner.	house	how's	8
208	nonpun	48	a	Eire is a former name for the Republic of Ireland.	eire	fire	8
209	nonpun	49	a	An alp is a very high mountain.	alp	help	8
210	nonpun	50	a	We have a small flower garden behind our house. 	garden	guarding	8
211	nonpun	51	a	I like to eat lima beans and black beans.	bean	been	7
212	nonpun	52	a	The odor of old fish filled the air.	odor	order	7
213	nonpun	53	a	My desk lamp uses a 60-watt light bulb.	watt	lot	7
214	nonpun	54	a	"Rats, mice, and flies are regarded as pests."	pest	best	7
215	nonpun	55	a	He is often a crank in the morning.	crank	crack	7
216	nonpun	56	a	Runners need strong legs.	leg	lag	7
217	nonpun	57	a	A decade is a pretty long time.	decade	decay	7
218	nonpun	58	a	He has written dramatic works for the stage. 	dramatic	traumatic	7
219	nonpun	59	a	That sentence has an unusual grammatic structure.	grammatic	traumatic	7
220	nonpun	60	a	The hosta is a beautiful plant.	hosta	hostile	7
221	nonpun	61	a	Dublin is the capital of Ireland.	dublin	doubling	6
222	nonpun	62	a	Prisms can be used to reflect and split light.	prism	prison	6
223	nonpun	63	a	I put the milk and meat in the fridge.	fridge	bridge	6
224	nonpun	64	a	A thief stole my luggage at the airport.	thief	chief	6
225	nonpun	65	a	The Industrial Revolution changed how people worked and lived.	revolution	resolution	6
226	nonpun	66	a	Humans and animals could not live without plants.	plants	Pants	6
227	nonpun	67	a	Rats tore into the meat with their strong incisors.	incisor	insider	6
228	nonpun	68	a	The mimes were very skilled at imitating people.	mimes	minds	6
229	nonpun	69	a	Her jewels were glittering in the sun.	glittering	littering	6
230	nonpun	70	a	"Our airplane is flying at an altitude of 35,000 feet."	altitude	attitude	6
231	nonpun	71	a	The general has great presence.	presence	presents	5
232	nonpun	72	a	She wore a scarf around her neck.	necks	next	5
233	nonpun	73	a	She has good digestion; she can eat anything!	digestion	destruction	5
234	nonpun	74	a	Our office uses 20 reams of paper each week.	ream	cream	5
235	nonpun	75	a	I seized his arm so he couldn't run away.	seize	see	5
236	nonpun	76	a	Cervantes is one of the most famous authors in the Spanish language.	author	offer	5
237	nonpun	77	a	The source of our difficulties is not having enough money.	source	sauce	5
238	nonpun	78	a	She used paste to put pictures in her notebook.	paste	pays	5
239	nonpun	79	a	I like an espresso after dinner.	espresso	express	5
240	nonpun	80	a	The scent of flowers relaxes me.	scents	sense	5
241	nonpun	1	b	My notebook has thin blue lines printed on each page.	line	lion	8
242	nonpun	2	b	She always speaks the truth.	truth	tooth	8
243	nonpun	3	b	"When he drinks wine, he starts acting sillier."	sillier	cilia	8
244	nonpun	4	b	I found a cat hair in my food.	hair	heir	8
245	nonpun	5	b	The chairman made some closing remarks at the end of the meeting.	closing	clothing	8
246	nonpun	6	b	An ambulance came to the car accident in two minutes.	ambulance	ambiance	8
247	nonpun	7	b	She decided to purchase a new car.	purchase	perches	8
248	nonpun	8	b	She gave herself a reward for working hard all year.	reward	reword	8
249	nonpun	9	b	A mass of people were in the town square for the concert.	mass	math	8
250	nonpun	10	b	A steeler is something that is covered in steel.	steeler	stealer	8
251	nonpun	11	b	A wicked man took the child from his parents.	wicked	wicker	7
252	nonpun	12	b	A birthday party is a special occasion.	special	spatial	7
253	nonpun	13	b	It is possible to fly around the world in an airplane. 	world	whirled	7
254	nonpun	14	b	Hairdressers use scissors to cut people's hair.	scissors	caesars	7
255	nonpun	15	b	I had a sandwich for lunch.	lunch	launch	7
256	nonpun	16	b	Blue and yellow make green.	blue	bloom	7
257	nonpun	17	b	"After twenty years in prison, he was a free man."	free	flea	7
258	nonpun	18	b	Her strong criticism hurt her daughter's feelings.	feelings	fillings	7
259	nonpun	19	b	The minister prayed for the evil woman's salvation.	salvation	salivation	7
260	nonpun	20	b	His office is in a skyscraper.	office	orifice	7
261	nonpun	21	b	"He posted $5,000 bail for his brother's release from jail. "	bail	braille	6
262	nonpun	22	b	The boss called his workers together on the spur of the moment. 	spur	sperm	6
263	nonpun	23	b	"The police fight crime, murder, theft, and drug dealing."	crime	grime	6
264	nonpun	24	b	Smallpox left him with many pock marks.	pock	epoch	6
265	nonpun	25	b	Our bones give us our shape.	bones	bonus	6
266	nonpun	26	b	Smoking is a bad habit.	habit	hobbit	6
267	nonpun	27	b	They went to the movie screening together.	screening	screaming	6
268	nonpun	28	b	I really like reading Sherlock Holmes books.	Holmes	ohms	6
269	nonpun	29	b	I can't remember the last time that happened.	can't	kant	6
270	nonpun	30	b	He has a bad temper and is easily angered.	temper	tamper	6
271	nonpun	31	b	She was late for our meeting.	late	latte	5
272	nonpun	32	b	Rental contracts state that tenants are liable for damages that they cause to the property.	liable	libel	5
273	nonpun	33	b	I twisted two pieces of thread on a needle.	twist	tryst	5
274	nonpun	34	b	That man uses profane language.	profane	propane	5
275	nonpun	35	b	He is leaving work right now.	leaving	leafing	5
276	nonpun	36	b	The family had roast leg of lamb for dinner.	Lambs	yams	5
277	nonpun	37	b	I was talking to my friend the whole time.	talking	tolkien	5
278	nonpun	38	b	I have a magnet on my desk that holds paper clips.	magnet	magnate	5
279	nonpun	39	b	A raving mad man frightened those near him.	raving	raven	5
280	nonpun	40	b	Alcohol burns easily.	alcohol	alkaline	5
281	nonpun	41	b	The boss told us to work late on a holiday; he is a slave driver.	slave	shave	4
282	nonpun	42	b	My back is aching from too much sitting.	aching	aiken	4
283	nonpun	43	b	He tried to hide his irritationbut it showed on his face.	irritation	irrigation	4
284	nonpun	44	b	"We made an offer to buy a house, but the owner upped the ante."	ante	auntie	4
285	nonpun	45	b	No one knows what will happen in the future.	future	fuchsia	4
286	nonpun	46	b	She tells a story to her child each night.	tell	till	4
287	nonpun	47	b	He asked her how's everything going.	how's	house	4
288	nonpun	48	b	We sat around the fire to keep warm.	fire	eire	4
289	nonpun	49	b	I gave my friend some help with her homework.	help	alp	4
290	nonpun	50	b	The dog was just guarding his house; he didn't mean to scare you.	guarding	garden	4
291	nonpun	51	b	It has been a long time since we saw each other.	been	bean	3
292	nonpun	52	b	She arranged the newspapers in order by their dates.	order	odor	3
293	nonpun	53	b	He decided to leave his car in the parking lot.	lot	watt	3
294	nonpun	54	b	She is the best student in the class.	best	pest	3
295	nonpun	55	b	That drinking glass has a crack in it.	crack	crank	3
296	nonpun	56	b	"There was a lag in communications, so he did not hear the news until many days later."	lag	leg	3
297	nonpun	57	b	Tooth decay can result from poor dental hygiene.	decay	decade	3
298	nonpun	58	b	The car accident was a very traumatic experience for her.	traumatic	dramatic	3
299	nonpun	59	b	That traumatic incident left her scarred.	traumatic	grammatic	3
300	nonpun	60	b	That driver has a hostile attitude.	hostile	hosta	3
301	nonpun	61	b	The amount that her business makes is always doubling every year.	doubling	dublin	2
302	nonpun	62	b	He was sent to prison for robbing a bank.	prison	prism	2
303	nonpun	63	b	Trains go across a bridge over the river.	bridge	fridge	2
304	nonpun	64	b	The leader of a Native American tribe is known as the chief. 	chief	thief	2
305	nonpun	65	b	Everyone admired his resolution when he quit smoking.	resolution	revolution	2
306	nonpun	66	b	"Her legs were cold, so she put on a pair of pants."	Pants	plants	2
307	nonpun	67	b	Insider trading can get you into a lot of trouble.	insider	incisor	2
308	nonpun	68	b	Great minds think alike.	minds	mimes	2
309	nonpun	69	b	She was caught littering and had to pay a fine.	littering	glittering	2
310	nonpun	70	b	She has a good attitude toward work	attitude	altitude	2
311	nonpun	71	b	He couldn't wait to open his Christmas presents.	presents	presence	1
312	nonpun	72	b	"The next time that you're late, you'll be in trouble."	next	necks	1
313	nonpun	73	b	A hurricane causes great destruction to buildings and trees.	destruction	digestion	1
314	nonpun	74	b	Butter is made from cream.	cream	ream	1
315	nonpun	75	b	He was able to see clearly after getting glasses.	see	seize	1
316	nonpun	76	b	They are very considerate and always offer to give me a ride.	offer	author	1
317	nonpun	77	b	I love to eat chocolate sauce on vanilla ice cream.	sauce	source	1
318	nonpun	78	b	That company pays its employees every two weeks.	pays	paste	1
319	nonpun	79	b	She should learn to express her feelings better.	express	espresso	1
320	nonpun	80	b	He has a good sense for business.	sense	scents	1
