"","sentenceID","sentenceType","homophoneID","version","sentence","m1","m2","condition","rating"
"42",42,"pun",42,"a","My heart starts Aiken when Clay sings.","aiken","aching",5,1.06448783085414
"43",43,"pun",43,"a","My neighbor's sprinkler is a constant irrigation to me.","irrigation","irritation",5,1.3084735215201
"44",44,"pun",44,"a","My two uncles bet who would get married first. Then one upped the auntie.","auntie","ante",5,1.20655533754038
"45",45,"pun",45,"a","New years resolution for the bankrupt gardener was to forget the past and rely on the fuchsia.","fuchsia","future",5,1.475209288043
"46",46,"pun",46,"a","On organic farms they till it like it is.","till","tell",5,0.777286690594305
"47",47,"pun",47,"a","One real estate agent said to another, House it going?","house","how's",5,1.54183762163833
"48",48,"pun",48,"a","People have a happy time vacationing in Ireland because they are walking on Eire.","eire","fire",5,0.857645622280686
"49",49,"pun",49,"a","People in Switzerland can't learn to ski without a lot of Alp.","alp","help",5,1.31768728670371
"50",50,"pun",50,"a","Scarecrows are always garden their patch.","garden","guarding",5,1.21034848380169
"51",51,"pun",51,"a","Selling coffee has its perks for those who have bean so lucky.","bean","been",6,0.480044238725478
"52",52,"pun",52,"a","Sign on a broken perfume bottle, Out of odor.","odor","order",6,1.85862078084257
"53",53,"pun",53,"a","Sign: 'Please turn out the lights. Thanks a watt.'","watt","lot",6,1.78620309885491
"54",54,"pun",54,"a","Some children are often on their pest behavior.","pest","best",6,1.48158220058083
"55",55,"pun",55,"a","Some people have to get up for work at the crank of dawn.","crank","crack",6,0.0601509603720869
"56",56,"pun",56,"a","Some planes are so cramped that passengers suffer jet leg.","leg","lag",6,0.783376647860435
"57",57,"pun",57,"a","Ten years without brushing causes horrible tooth decade.","decade","decay",6,0.682335120567609
"58",58,"pun",58,"a","The actor was never quite right after he retired. He had Post Dramatic Stress Disorder.","dramatic","traumatic",6,1.88072334406683
"59",59,"pun",59,"a","The English Teacher felt odd after being fired: it was post grammatic stress disorder.","grammatic","traumatic",6,1.70908320964943
"60",60,"pun",60,"a","The garden club visited the nursery and found themselves in a hosta environment.","hosta","hostile",6,1.0502404727507
"61",61,"pun",61,"a","The Irish should be rich because their capital is always Dublin.","dublin","doubling",7,1.90281765415311
"62",62,"pun",62,"a","The optical scientist who stole his colleague's bifocals was sentenced to three years in a state prism.","prism","prison",7,1.27552669650078
"63",63,"pun",63,"a","The plumber explained that the problem in my kitchen was just water under the fridge.","fridge","bridge",7,0.461302229081006
"64",64,"pun",64,"a","The robber baron was a commander in thief.","thief","chief",7,0.964814214567333
"65",65,"pun",65,"a","The satellite went into orbit on January 1st causing a new year's revolution.","revolution","resolution",7,0.416998789603128
"66",66,"pun",66,"a","The twin girls rented flora to offices. They called their business 'Sisterhood of the Traveling Plants'.","plants","Pants",7,0.984036376596467
"67",67,"pun",67,"a","There was a dentist who was convicted of incisor trading.","incisor","insider",7,1.18748717769094
"68",68,"pun",68,"a","They were the quietest burglars in the history of New York City. The newspapers called them 'Criminal Mimes.'","mimes","minds",7,1.22528760672572
"69",69,"pun",69,"a","Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for glittering.","glittering","littering",7,1.59385967687557
"70",70,"pun",70,"a","To become a pilot requires a good altitude.","altitude","attitude",7,1.34813027135728
"71",71,"pun",71,"a","To some Christmas is about other people's presence.","presence","presents",8,0.317185433486636
"72",72,"pun",72,"a","Vampires are always looking for their necks victim.","necks","next",8,1.37001219639927
"73",73,"pun",73,"a","What does a villain call his silverware? Weapons of mass digestion.","digestion","destruction",8,1.10491604382345
"74",74,"pun",74,"a","What would be the brand name of the highest quality copy paper money could buy? The ream of the crop!","ream","cream",8,1.34860201048941
"75",75,"pun",75,"a","What you seize is what you get.","seize","see",8,0.272346058925227
"76",76,"pun",76,"a","When she made Mario Puzo's books required reading for her class, she made him an author they couldn't refuse.","author","offer",8,1.10090894720814
"77",77,"pun",77,"a","When the crop was destroyed, there was no more cranberry source.","source","sauce",8,-0.303356781036045
"78",78,"pun",78,"a","When you use glue in class it paste to be careful.","paste","pays",8,0.6665166099475
"79",79,"pun",79,"a","Why are Italians so good at making coffee? Because they really know how to espresso themselves.","espresso","express",8,1.23532918966377
"80",80,"pun",80,"a","Women who wear $200.00 perfume obviously are known to have no common scents.","scents","sense",8,1.71802596607105
"161",161,"nonpun",1,"a","The owner takes the lion's share of profits from the company.","lion","line",4,-0.455132909095727
"162",162,"nonpun",2,"a","A dentist examines one tooth at a time.","tooth","truth",4,-0.453112402856727
"163",163,"nonpun",3,"a","Cilia are hairlike projections on the surface of some cells.","cilia","sillier",4,-0.634945155190455
"164",164,"nonpun",4,"a","Prince William is heir to the British throne.","heir","hair",4,-0.634945155190455
"165",165,"nonpun",5,"a","Food and clothing are basic necessities.","clothing","closing",4,-0.634945155190455
"166",166,"nonpun",6,"a","The ambiance in that hotel is one of warmth and charm.","ambiance","ambulance",4,-0.634945155190455
"167",167,"nonpun",7,"a","Pigeons use the sunny sides of roofs as perches.","perches","purchase",4,-0.634945155190455
"168",168,"nonpun",8,"a","The mayor reworded his speech, because his advisors told him to do so.","reword","reward",4,-0.500085970619273
"169",169,"nonpun",9,"a","I have a math exam today at school.","math","mass",4,-0.634945155190455
"170",170,"nonpun",10,"a","He is a stealer of hearts.","stealer","steeler",4,-0.487410235901236
"171",171,"nonpun",11,"a","That chair is made of wicker.","wicker","wicked",3,-0.6219180011749
"172",172,"nonpun",12,"a","She has good spatial skills; she knows how to build a house from plans on paper.","spatial","special",3,-0.335896632558205
"173",173,"nonpun",13,"a","Dancers whirled on the stage.","whirled","world",3,-0.71774305186745
"174",174,"nonpun",14,"a","The owner behaves like a little Caesar with his employees.","caesars","scissors",3,0.102025090850845
"175",175,"nonpun",15,"a","The space launch took place this morning.","launch","lunch",3,-0.6127380077761
"176",176,"nonpun",16,"a","Our apple tree was in bloom last week. ","bloom","blue",3,-0.65355332511625
"177",177,"nonpun",17,"a","His dog has fleas.","flea","free",3,-0.5967216384924
"178",178,"nonpun",18,"a","The dentist replaced two fillings I had lost. ","fillings","feelings",3,-0.5960188079918
"179",179,"nonpun",19,"a","The dog's salivation was all over the carpet.","salivation","salvation",3,-0.4921343518427
"180",180,"nonpun",20,"a","The mouth is an orifice.","orifice","office",3,-0.541955048518765
"181",181,"nonpun",21,"a","He reads braille with his fingertips.","braille","bail",2,-0.751547502840474
"182",182,"nonpun",22,"a","He decided to donate his sperm.","sperm","spur",2,-0.357075948331526
"183",183,"nonpun",23,"a","The city's buildings are covered with grime.","grime","crime",2,-0.751547502840474
"184",184,"nonpun",24,"a","The end of the nuclear arms race began a new epoch of peace and cooperation.","epoch","pock",2,-0.295077908559963
"185",185,"nonpun",25,"a","Our company pays everyone a bonus at the end of the year.","bonus","bones",2,-0.621799769287737
"186",186,"nonpun",26,"a","My favorite creatures in Lord of the Rings are hobbits.","hobbit","habit",2,-0.488988076207211
"187",187,"nonpun",27,"a","She started screaming when the man pulled out a knife.","screaming","screening",2,-0.751547502840474
"188",188,"nonpun",28,"a","Ohms are used to measure electrical resistance.","ohms","Holmes",2,-0.751547502840474
"189",189,"nonpun",29,"a","Kant was a German philosopher.","kant","can't",2,-0.554548856729368
"190",190,"nonpun",30,"a","The barista used a tamper to press down the coffee.","tamper","temper",2,-0.651986328061105
"191",191,"nonpun",31,"a","I like a latte in the morning to wake me up.","latte","late",1,-0.581612469960864
"192",192,"nonpun",32,"a","The tabloid newspaper libeled a movie star.","libel","liable",1,-0.489955628742455
"193",193,"nonpun",33,"a","The lovers go away to the country for weekend trysts.","tryst","twist",1,-0.311270199424909
"194",194,"nonpun",34,"a","He burns propane gas in his stove.","propane","profane",1,-0.4073108056669
"195",195,"nonpun",35,"a","He saw her leafing through the pages of an old book.","leafing","leaving",1,-0.375678819602364
"196",196,"nonpun",36,"a","Some people eat yams with their turkey.","yams","Lambs",1,-0.503714687186
"197",197,"nonpun",37,"a","Tolkien wrote Lord of the Rings.","tolkien","talking",1,-0.701932653163864
"198",198,"nonpun",38,"a","She is a coal and iron magnate from Australia.","magnate","magnet",1,-0.526643675079736
"199",199,"nonpun",39,"a","A raven is a large black bird.","raven","raving",1,-0.622599591422546
"200",200,"nonpun",40,"a","He tried out an alkaline diet to maintain the body's ideal pH balance.","alkaline","alcohol",1,0.143351114350455
"201",201,"nonpun",41,"a","Your beard is growing too long; you need a shave.","shave","slave",8,-0.458483042043136
"202",202,"nonpun",42,"a","Clay Aiken rose to fame after he won American Idol. ","aiken","aching",8,-0.455673985959545
"203",203,"nonpun",43,"a","Irrigation is the artificial application of water to the land or soil","irrigation","irritation",8,-0.580332875732046
"204",204,"nonpun",44,"a","My Auntie Betty is my mother's sister.","auntie","ante",8,-0.560055614970682
"205",205,"nonpun",45,"a","Her favorite flower is the fuchsia.","fuchsia","future",8,-0.476568879878545
"206",206,"nonpun",46,"a","Farmers till the soil in the springtime. ","till","tell",8,-0.549682961799136
"207",207,"nonpun",47,"a","Our house is located on the corner.","house","how's",8,-0.550151007381273
"208",208,"nonpun",48,"a","Eire is a former name for the Republic of Ireland.","eire","fire",8,-0.526878421414682
"209",209,"nonpun",49,"a","An alp is a very high mountain.","alp","help",8,-0.479845981544591
"210",210,"nonpun",50,"a","We have a small flower garden behind our house. ","garden","guarding",8,-0.488383133933273
"211",211,"nonpun",51,"a","I like to eat lima beans and black beans.","bean","been",7,-0.642220625404611
"212",212,"nonpun",52,"a","The odor of old fish filled the air.","odor","order",7,-0.535374078082944
"213",213,"nonpun",53,"a","My desk lamp uses a 60-watt light bulb.","watt","lot",7,-0.642220625404611
"214",214,"nonpun",54,"a","Rats, mice, and flies are regarded as pests.","pest","best",7,-0.642220625404611
"215",215,"nonpun",55,"a","He is often a crank in the morning.","crank","crack",7,-0.38894364457585
"216",216,"nonpun",56,"a","Runners need strong legs.","leg","lag",7,-0.642220625404611
"217",217,"nonpun",57,"a","A decade is a pretty long time.","decade","decay",7,-0.571363995827889
"218",218,"nonpun",58,"a","He has written dramatic works for the stage. ","dramatic","traumatic",7,-0.642220625404611
"219",219,"nonpun",59,"a","That sentence has an unusual grammatic structure.","grammatic","traumatic",7,-0.600723194494878
"220",220,"nonpun",60,"a","The hosta is a beautiful plant.","hosta","hostile",7,-0.619461000671278
"221",221,"nonpun",61,"a","Dublin is the capital of Ireland.","dublin","doubling",6,-0.539770602900522
"222",222,"nonpun",62,"a","Prisms can be used to reflect and split light.","prism","prison",6,-0.572434307838609
"223",223,"nonpun",63,"a","I put the milk and meat in the fridge.","fridge","bridge",6,-0.472295509857522
"224",224,"nonpun",64,"a","A thief stole my luggage at the airport.","thief","chief",6,-0.572434307838609
"225",225,"nonpun",65,"a","The Industrial Revolution changed how people worked and lived.","revolution","resolution",6,-0.539770602900522
"226",226,"nonpun",66,"a","Humans and animals could not live without plants.","plants","Pants",6,-0.480440207192087
"227",227,"nonpun",67,"a","Rats tore into the meat with their strong incisors.","incisor","insider",6,-0.539770602900522
"228",228,"nonpun",68,"a","The mimes were very skilled at imitating people.","mimes","minds",6,-0.319622140708439
"229",229,"nonpun",69,"a","Her jewels were glittering in the sun.","glittering","littering",6,-0.408094298855565
"230",230,"nonpun",70,"a","Our airplane is flying at an altitude of 35,000 feet.","altitude","attitude",6,-0.519903017204783
"231",231,"nonpun",71,"a","The general has great presence.","presence","presents",5,-0.386211570935857
"232",232,"nonpun",72,"a","She wore a scarf around her neck.","necks","next",5,-0.650416254773048
"233",233,"nonpun",73,"a","She has good digestion; she can eat anything!","digestion","destruction",5,-0.160979291305314
"234",234,"nonpun",74,"a","Our office uses 20 reams of paper each week.","ream","cream",5,-0.520712803589333
"235",235,"nonpun",75,"a","I seized his arm so he couldn't run away.","seize","see",5,-0.429209543275886
"236",236,"nonpun",76,"a","Cervantes is one of the most famous authors in the Spanish language.","author","offer",5,-0.597250522502667
"237",237,"nonpun",77,"a","The source of our difficulties is not having enough money.","source","sauce",5,-0.379013088394886
"238",238,"nonpun",78,"a","She used paste to put pictures in her notebook.","paste","pays",5,-0.538179323937571
"239",239,"nonpun",79,"a","I like an espresso after dinner.","espresso","express",5,-0.468987104996857
"240",240,"nonpun",80,"a","The scent of flowers relaxes me.","scents","sense",5,-0.585070265149857
"241",241,"nonpun",1,"b","My notebook has thin blue lines printed on each page.","line","lion",8,-0.557060289765455
"242",242,"nonpun",2,"b","She always speaks the truth.","truth","tooth",8,-0.458201265582318
"243",243,"nonpun",3,"b","When he drinks wine, he starts acting sillier.","sillier","cilia",8,-0.247863940294682
"244",244,"nonpun",4,"b","I found a cat hair in my food.","hair","heir",8,-0.391644512018955
"245",245,"nonpun",5,"b","The chairman made some closing remarks at the end of the meeting.","closing","clothing",8,-0.610982789664955
"246",246,"nonpun",6,"b","An ambulance came to the car accident in two minutes.","ambulance","ambiance",8,-0.610982789664955
"247",247,"nonpun",7,"b","She decided to purchase a new car.","purchase","perches",8,-0.580332875732046
"248",248,"nonpun",8,"b","She gave herself a reward for working hard all year.","reward","reword",8,-0.427551351649591
"249",249,"nonpun",9,"b","A mass of people were in the town square for the concert.","mass","math",8,-0.567432942937
"250",250,"nonpun",10,"b","A steeler is something that is covered in steel.","steeler","stealer",8,-0.510943875615
"251",251,"nonpun",11,"b","A wicked man took the child from his parents.","wicked","wicker",7,-0.642220625404611
"252",252,"nonpun",12,"b","A birthday party is a special occasion.","special","spatial",7,-0.642220625404611
"253",253,"nonpun",13,"b","It is possible to fly around the world in an airplane. ","world","whirled",7,-0.376506978509439
"254",254,"nonpun",14,"b","Hairdressers use scissors to cut people's hair.","scissors","caesars",7,-0.642220625404611
"255",255,"nonpun",15,"b","I had a sandwich for lunch.","lunch","launch",7,-0.642220625404611
"256",256,"nonpun",16,"b","Blue and yellow make green.","blue","bloom",7,-0.642220625404611
"257",257,"nonpun",17,"b","After twenty years in prison, he was a free man.","free","flea",7,-0.642220625404611
"258",258,"nonpun",18,"b","Her strong criticism hurt her daughter's feelings.","feelings","fillings",7,-0.642220625404611
"259",259,"nonpun",19,"b","The minister prayed for the evil woman's salvation.","salvation","salivation",7,-0.500464501809767
"260",260,"nonpun",20,"b","His office is in a skyscraper.","office","orifice",7,-0.642220625404611
"261",261,"nonpun",21,"b","He posted $5,000 bail for his brother's release from jail. ","bail","braille",6,-0.539770602900522
"262",262,"nonpun",22,"b","The boss called his workers together on the spur of the moment. ","spur","sperm",6,-0.513013532138739
"263",263,"nonpun",23,"b","The police fight crime, murder, theft, and drug dealing.","crime","grime",6,-0.539770602900522
"264",264,"nonpun",24,"b","Smallpox left him with many pock marks.","pock","epoch",6,-0.485898151973739
"265",265,"nonpun",25,"b","Our bones give us our shape.","bones","bonus",6,-0.440066538607152
"266",266,"nonpun",26,"b","Smoking is a bad habit.","habit","hobbit",6,-0.545677237076826
"267",267,"nonpun",27,"b","They went to the movie screening together.","screening","screaming",6,-0.549354274998391
"268",268,"nonpun",28,"b","I really like reading Sherlock Holmes books.","Holmes","ohms",6,-0.539770602900522
"269",269,"nonpun",29,"b","I can't remember the last time that happened.","can't","kant",6,-0.509854380462957
"270",270,"nonpun",30,"b","He has a bad temper and is easily angered.","temper","tamper",6,-0.572434307838609
"271",271,"nonpun",31,"b","She was late for our meeting.","late","latte",5,-0.677004284032
"272",272,"nonpun",32,"b","Rental contracts state that tenants are liable for damages that they cause to the property.","liable","libel",5,-0.543644572949095
"273",273,"nonpun",33,"b","I twisted two pieces of thread on a needle.","twist","tryst",5,-0.493975388549
"274",274,"nonpun",34,"b","That man uses profane language.","profane","propane",5,-0.490093843385286
"275",275,"nonpun",35,"b","He is leaving work right now.","leaving","leafing",5,-0.677004284032
"276",276,"nonpun",36,"b","The family had roast leg of lamb for dinner.","Lambs","yams",5,-0.646571520650714
"277",277,"nonpun",37,"b","I was talking to my friend the whole time.","talking","tolkien",5,-0.747109796393762
"278",278,"nonpun",38,"b","I have a magnet on my desk that holds paper clips.","magnet","magnate",5,-0.614257777792381
"279",279,"nonpun",39,"b","A raving mad man frightened those near him.","raving","raven",5,-0.533084753596314
"280",280,"nonpun",40,"b","Alcohol burns easily.","alcohol","alkaline",5,-0.334899673276667
"281",281,"nonpun",41,"b","The boss told us to work late on a holiday; he is a slave driver.","slave","shave",4,0.0330512414151091
"282",282,"nonpun",42,"b","My back is aching from too much sitting.","aching","aiken",4,-0.543446921733182
"283",283,"nonpun",43,"b","He tried to hide his irritationbut it showed on his face.","irritation","irrigation",4,-0.634945155190455
"284",284,"nonpun",44,"b","We made an offer to buy a house, but the owner upped the ante.","ante","auntie",4,-0.634945155190455
"285",285,"nonpun",45,"b","No one knows what will happen in the future.","future","fuchsia",4,-0.634945155190455
"286",286,"nonpun",46,"b","She tells a story to her child each night.","tell","till",4,-0.634945155190455
"287",287,"nonpun",47,"b","He asked her how's everything going.","how's","house",4,-0.634945155190455
"288",288,"nonpun",48,"b","We sat around the fire to keep warm.","fire","eire",4,-0.634945155190455
"289",289,"nonpun",49,"b","I gave my friend some help with her homework.","help","alp",4,-0.634945155190455
"290",290,"nonpun",50,"b","The dog was just guarding his house; he didn't mean to scare you.","guarding","garden",4,-0.500085970619273
"291",291,"nonpun",51,"b","It has been a long time since we saw each other.","been","bean",3,-0.6854944650022
"292",292,"nonpun",52,"b","She arranged the newspapers in order by their dates.","order","odor",3,-0.649550694477165
"293",293,"nonpun",53,"b","He decided to leave his car in the parking lot.","lot","watt",3,-0.75074889187885
"294",294,"nonpun",54,"b","She is the best student in the class.","best","pest",3,-0.7288210897888
"295",295,"nonpun",55,"b","That drinking glass has a crack in it.","crack","crank",3,-0.6539304837262
"296",296,"nonpun",56,"b","There was a lag in communications, so he did not hear the news until many days later.","lag","leg",3,-0.6848133031069
"297",297,"nonpun",57,"b","Tooth decay can result from poor dental hygiene.","decay","decade",3,-0.75074889187885
"298",298,"nonpun",58,"b","The car accident was a very traumatic experience for her.","traumatic","dramatic",3,-0.70674110519695
"299",299,"nonpun",59,"b","That traumatic incident left her scarred.","traumatic","grammatic",3,-0.75074889187885
"300",300,"nonpun",60,"b","That driver has a hostile attitude.","hostile","hosta",3,-0.6418289811149
"301",301,"nonpun",61,"b","The amount that her business makes is always doubling every year.","doubling","dublin",2,-0.695790697670632
"302",302,"nonpun",62,"b","He was sent to prison for robbing a bank.","prison","prism",2,-0.698777682473368
"303",303,"nonpun",63,"b","Trains go across a bridge over the river.","bridge","fridge",2,-0.580792241238842
"304",304,"nonpun",64,"b","The leader of a Native American tribe is known as the chief. ","chief","thief",2,-0.648852522263421
"305",305,"nonpun",65,"b","Everyone admired his resolution when he quit smoking.","resolution","revolution",2,-0.538021461509368
"306",306,"nonpun",66,"b","Her legs were cold, so she put on a pair of pants.","Pants","plants",2,-0.489570828394421
"307",307,"nonpun",67,"b","Insider trading can get you into a lot of trouble.","insider","incisor",2,-0.547322269611789
"308",308,"nonpun",68,"b","Great minds think alike.","minds","mimes",2,-0.622809871637684
"309",309,"nonpun",69,"b","She was caught littering and had to pay a fine.","littering","glittering",2,-0.726883860046211
"310",310,"nonpun",70,"b","She has a good attitude toward work","attitude","altitude",2,-0.596126024143468
"311",311,"nonpun",71,"b","He couldn't wait to open his Christmas presents.","presents","presence",1,-0.540453656282955
"312",312,"nonpun",72,"b","The next time that you're late, you'll be in trouble.","next","necks",1,-0.574679240840682
"313",313,"nonpun",73,"b","A hurricane causes great destruction to buildings and trees.","destruction","digestion",1,-0.651031288234545
"314",314,"nonpun",74,"b","Butter is made from cream.","cream","ream",1,-0.701932653163864
"315",315,"nonpun",75,"b","He was able to see clearly after getting glasses.","see","seize",1,-0.318677435727636
"316",316,"nonpun",76,"b","They are very considerate and always offer to give me a ride.","offer","author",1,-0.546247544028682
"317",317,"nonpun",77,"b","I love to eat chocolate sauce on vanilla ice cream.","sauce","source",1,-0.595641884561182
"318",318,"nonpun",78,"b","That company pays its employees every two weeks.","pays","paste",1,-0.625580605769909
"319",319,"nonpun",79,"b","She should learn to express her feelings better.","express","espresso",1,-0.6204214949245
"320",320,"nonpun",80,"b","He has a good sense for business.","sense","scents",1,-0.680768834048227
